名詞,名詞数,動詞,動詞数,形容詞,形容詞数
さん,168,飛び付く,1.0,酷い,4.0
文脈,3,しまう,20.0,高い,3.0
無視,1,負ける,6.0,ない,34.0
単語,2,続ける,3.0,言うまでもない,2.0
みたい,8,払う,1.0,凄い,5.0
感じ,2,いう,12.0,新しい,1.0
件,7,やってくる,1.0,欲しい,4.0
以上,7,行ける,2.0,おかしい,5.0
相場,1,やる,17.0,早い,1.0
着手,1,言う,33.0,詳しい,3.0
金,5,おく,7.0,賢い,4.0
わけ,6,くれる,4.0,いい,15.0
可能,8,かける,2.0,多い,8.0
性,9,楽しむ,2.0,やすい,3.0
暇,75,見つける,3.0,ほしい,3.0
空,65,しゃがむ,2.0,嬉しい,1.0
茜,22,構える,2.0,よい,1.0
道,1,見る,12.0,悪い,5.0
プロ,8,られる,14.0,醜い,1.0
弁護士,35,できる,27.0,強い,1.0
こん,1,訴える,6.0,なるい,1.0
絶対,6,出す,12.0,良い,2.0
失敗,1,終わる,3.0,深い,2.0
断言,1,間違える,1.0,低い,3.0
自称,3,ちゃう,2.0,上手い,5.0
天才,15,出回る,1.0,激しい,1.0
私,66,分かる,18.0,くだらない,1.0
文京,3,作る,3.0,正しい,2.0
区,4,隠す,3.0,相応しい,1.0
正体,5,入る,7.0,見苦しい,1.0
認知,6,たまる,23.0,厳しい,1.0
ファイリング,6,しれる,11.0,ありがたい,1.0
別人,3,おいこむ,1.0,偉い,1.0
端野,5,伸ばす,2.0,黒い,1.0
先生,33,問う,3.0,白い,2.0
迷惑,2,上げる,1.0,小さい,1.0
札束,7,殺す,2.0,薄い,1.0
花見,3,待ち伏せる,1.0,むなしい,1.0
桜,2,会える,1.0,にくい,1.0
木,2,会う,2.0,難しい,1.0
散歩,2,話しかける,2.0,大きい,1.0
近所,2,置き換える,2.0,悲しい,1.0
記念,3,載る,1.0,,
写真,4,聞く,5.0,,
一,9,行く,7.0,,
枚,2,書く,6.0,,
身長,7,済ませる,1.0,,
違い,6,言える,4.0,,
構図,2,思う,40.0,,
一致,4,うる,4.0,,
苦労,2,持ち出す,1.0,,
カメラ,2,吐く,2.0,,
角度,3,伺う,2.0,,
調整,2,戻れる,1.0,,
マジ,3,申し上げる,1.0,,
目,3,持つ,5.0,,
何,6,取れる,3.0,,
回,2,流す,3.0,,
理解,2,おっしゃる,5.0,,
著作,5,すぎる,9.0,,
権,5,見送る,2.0,,
侵害,6,上がる,3.0,,
加害,7,気付く,2.0,,
者,22,増える,5.0,,
被害,4,残る,1.0,,
訴状,2,仰ぐ,1.0,,
相手,2,バレる,2.0,,
主張,6,困る,3.0,,
反論,3,いただける,2.0,,
予定,1,伝える,1.0,,
調和,1,話し掛ける,1.0,,
前代未聞,1,震える,1.0,,
お笑い,1,つぶやく,1.0,,
裁判,9,付ける,5.0,,
無事,1,頑張る,3.0,,
よう,26,勝つ,3.0,,
普通,4,ねる,1.0,,
事情,1,加える,1.0,,
判明,1,向かう,2.0,,
時点,3,覚える,4.0,,
土下座,1,採る,1.0,,
和解,1,至る,1.0,,
敗訴,1,生きる,3.0,,
カルピス,46,死ぬ,1.0,,
軍団,15,でる,2.0,,
内,2,読む,7.0,,
期日,1,くださる,10.0,,
後,2,描く,2.0,,
傍聴,1,いただく,3.0,,
記録,2,みる,5.0,,
惨敗,1,におわせる,1.0,,
垣,14,遊ぶ,1.0,,
鍔,14,助かる,1.0,,
晶,4,考える,10.0,,
弁護,3,進む,2.0,,
団,3,取り下げる,1.0,,
人物,3,抱く,2.0,,
アカウント,7,なす,1.0,,
仁藤,4,くる,11.0,,
顔付き,1,越える,1.0,,
特定,1,したがう,1.0,,
アジア,1,おこなう,1.0,,
それ,18,定める,3.0,,
顔,3,せる,4.0,,
半島,1,売る,1.0,,
揶揄,2,買う,1.0,,
発覚,1,信じる,2.0,,
必死,2,見失う,1.0,,
せい,4,呼ぶ,3.0,,
アンチ,1,似合う,1.0,,
間,1,いらっしゃる,1.0,,
ネタ,4,撮る,2.0,,
化,3,映る,1.0,,
誕生,1,下げる,1.0,,
経緯,1,守る,1.0,,
観戦,3,掲げる,1.0,,
車,1,出る,3.0,,
め,23,倒す,2.0,,
うつ病,1,みせる,1.0,,
集中,1,雇う,1.0,,
攻撃,7,当てはまる,1.0,,
削除,1,当てはめる,1.0,,
関係,8,息巻く,1.0,,
話,16,置く,1.0,,
カンパ,5,認める,4.0,,
無駄遣い,2,思える,1.0,,
実質,2,切れる,1.0,,
勝ち,4,寝る,1.0,,
宣伝,1,かかわる,1.0,,
視聴,1,行う,1.0,,
数,7,煽る,2.0,,
経済,1,損ねる,1.0,,
的,23,起こす,1.0,,
フレーム,1,成り済ます,2.0,,
ワーク,1,手が込む,1.0,,
立場,2,だす,1.0,,
ネット,3,探す,1.0,,
リンチ,1,送る,1.0,,
声,4,とく,2.0,,
唐,1,使う,8.0,,
澤,1,見破る,1.0,,
尊敬,3,名乗る,4.0,,
なき声,1,晒す,1.0,,
力,2,絡む,3.0,,
時代,2,騒ぐ,2.0,,
悲報,1,逃げる,2.0,,
文鳥,2,許せる,2.0,,
民,1,支払う,2.0,,
部,1,過ぎる,1.0,,
あたり,2,得る,3.0,,
堀口,38,こじれる,1.0,,
偶然,1,増やす,1.0,,
勇気,1,来る,3.0,,
氏名,4,貶める,1.0,,
原告,3,知る,9.0,,
検索,2,答える,3.0,,
意味,10,怒る,2.0,,
主要,1,驚く,1.0,,
判決,4,聞ける,1.0,,
今回,5,打ち上げる,1.0,,
対象,3,当たる,2.0,,
外,2,受ける,1.0,,
事件,5,もめる,1.0,,
番号,2,引き抜く,1.0,,
該当,1,かる,1.0,,
裁判所,4,広まる,2.0,,
閲覧,3,違う,2.0,,
申請,1,起きる,1.0,,
確認,2,犯す,1.0,,
そこ,5,変わる,1.0,,
穏便,1,教える,2.0,,
口,2,取る,3.0,,
関西,1,表立つ,1.0,,
人頼み,1,ほる,2.0,,
例,6,思い込む,2.0,,
少額,2,どく,2.0,,
訴訟,6,つつく,2.0,,
簡裁,1,現れる,3.0,,
名誉,10,語る,2.0,,
感情,3,ぬく,1.0,,
根拠,3,喜ぶ,1.0,,
大阪,1,させる,1.0,,
地裁,1,決める,2.0,,
別件,1,絞る,2.0,,
引用,3,込める,2.0,,
提訴,3,逸らす,1.0,,
誤解,5,付き合う,1.0,,
人,62,読み替える,1.0,,
条,3,逆らう,1.0,,
工作,7,貼る,1.0,,
員,5,まとめる,1.0,,
活動,5,いたす,1.0,,
嘘,2,伴う,1.0,,
正直,2,務める,1.0,,
これ,21,叩き込む,1.0,,
信頼,2,異なる,1.0,,
大丈夫,8,追いやる,1.0,,
疲れ,1,あげる,4.0,,
様子,1,逃れる,1.0,,
日,11,続く,1.0,,
問題,13,過ごせる,1.0,,
解決,3,抜く,1.0,,
元,1,耐える,1.0,,
生活,2,許す,1.0,,
お祈り,1,超える,2.0,,
敵対,1,待つ,2.0,,
考え,1,空く,1.0,,
コミュニケーション,1,着く,1.0,,
記者,3,捨てる,1.0,,
会見,3,広げる,1.0,,
会計,4,変える,3.0,,
不備,2,思いがける,1.0,,
指摘,1,喰らう,1.0,,
タコ,1,使える,1.0,,
部屋,1,欠く,1.0,,
事実無根,2,見せる,2.0,,
デマ,2,働く,1.0,,
甘受,1,始める,2.0,,
次回,1,外せる,1.0,,
会議,7,暮らす,1.0,,
いつ,3,投げる,2.0,,
あまり,2,構う,1.0,,
公開,6,動く,1.0,,
議題,2,話す,2.0,,
オンライン,1,申す,1.0,,
たち,14,なさる,2.0,,
気,10,向ける,1.0,,
連絡,1,譲れる,1.0,,
今,2,深まる,1.0,,
ところ,13,つく,1.0,,
明日,2,止まる,1.0,,
声紋,1,飲む,1.0,,
照合,1,苦しむ,1.0,,
録音,1,寄り添う,1.0,,
スペース,7,作れる,1.0,,
補足,1,嫌がる,1.0,,
撮影,4,嫌う,1.0,,
方法,2,話せる,1.0,,
場所,4,配る,1.0,,
自宅,3,転がる,1.0,,
近く,3,おきる,1.0,,
職場,1,後れる,1.0,,
別,5,繋がる,1.0,,
住所,1,食う,1.0,,
ここ,8,広がる,1.0,,
自分,11,とよむ,1.0,,
聖地,1,追い込む,1.0,,
巡礼,1,問い合わせる,1.0,,
ヶ月,1,移す,1.0,,
前,5,止める,1.0,,
綺麗,3,通る,2.0,,
小沢,5,もらえる,1.0,,
一仁,3,祈る,1.0,,
渥美,2,感じる,2.0,,
陽子,1,望む,1.0,,
松永,1,逃げ切る,1.0,,
成,1,下せる,1.0,,
高,1,責める,1.0,,
専門,1,戦う,2.0,,
分野,1,もらう,2.0,,
アルパカ,3,触る,1.0,,
社長,1,別れる,1.0,,
吉,2,付く,2.0,,
峰,2,被る,1.0,,
耕平,2,思い付く,1.0,,
フェミニスト,7,関わる,1.0,,
石川,6,当て擦る,1.0,,
優,2,済む,1.0,,
実,2,讃える,1.0,,
最初,2,踏み込む,1.0,,
言い掛かり,3,勝てる,1.0,,
代理人,3,誤る,1.0,,
全面,2,見つめる,1.0,,
勝訴,3,出揃う,1.0,,
