時間,日曜,月曜,火曜,水曜,木曜,金曜,土曜
00,1.0,1.0,2.0,2.0,2.0,,2.0
01,1.0,,4.0,3.0,2.0,5.0,5.0
02,2.0,2.0,4.0,6.0,3.0,5.0,2.0
03,3.0,,2.0,2.0,4.0,1.0,1.0
04,3.0,1.0,1.0,1.0,8.0,3.0,5.0
05,2.0,,1.0,3.0,8.0,,10.0
06,1.0,1.0,5.0,4.0,5.0,3.0,8.0
07,4.0,2.0,1.0,1.0,7.0,,2.0
08,4.0,3.0,3.0,8.0,3.0,,2.0
09,4.0,,8.0,1.0,1.0,,
10,,1.0,,3.0,,,
14,2.0,,,,,,
16,,,,,,1.0,
17,,2.0,,,,,
18,,1.0,,,,1.0,1.0
19,1.0,4.0,,1.0,1.0,4.0,1.0
20,1.0,,4.0,3.0,,4.0,3.0
21,,,3.0,1.0,,5.0,2.0
22,1.0,4.0,2.0,2.0,1.0,2.0,
23,1.0,3.0,4.0,2.0,,4.0,2.0
