単語,重要度,該当文章
さん,0.08299060238930656,@calpisab ザンギさんのは酷かったですね。文脈を無視して単語に飛び付いてしまったみたいな感じで。もしもあんなのが100件以上あって負け続けているとしたら、相場より高い着手金を払っているわけではないという可能性もなくはないのですが / X
しまう,0.15567795567358172,@calpisab ザンギさんのは酷かったですね。文脈を無視して単語に飛び付いてしまったみたいな感じで。もしもあんなのが100件以上あって負け続けているとしたら、相場より高い着手金を払っているわけではないという可能性もなくはないのですが / X
ない,0.39661344743477456,@calpisab ザンギさんのは酷かったですね。文脈を無視して単語に飛び付いてしまったみたいな感じで。もしもあんなのが100件以上あって負け続けているとしたら、相場より高い着手金を払っているわけではないという可能性もなくはないのですが / X
みたい,0.1924568900557419,@calpisab ザンギさんのは酷かったですね。文脈を無視して単語に飛び付いてしまったみたいな感じで。もしもあんなのが100件以上あって負け続けているとしたら、相場より高い着手金を払っているわけではないという可能性もなくはないのですが / X
わけ,0.20468888012541392,@calpisab ザンギさんのは酷かったですね。文脈を無視して単語に飛び付いてしまったみたいな感じで。もしもあんなのが100件以上あって負け続けているとしたら、相場より高い着手金を払っているわけではないという可能性もなくはないのですが / X
以上,0.1924568900557419,@calpisab ザンギさんのは酷かったですね。文脈を無視して単語に飛び付いてしまったみたいな感じで。もしもあんなのが100件以上あって負け続けているとしたら、相場より高い着手金を払っているわけではないという可能性もなくはないのですが / X
単語,0.23416089190971284,@calpisab ザンギさんのは酷かったですね。文脈を無視して単語に飛び付いてしまったみたいな感じで。もしもあんなのが100件以上あって負け続けているとしたら、相場より高い着手金を払っているわけではないという可能性もなくはないのですが / X
可能,0.18744885841078704,@calpisab ザンギさんのは酷かったですね。文脈を無視して単語に飛び付いてしまったみたいな感じで。もしもあんなのが100件以上あって負け続けているとしたら、相場より高い着手金を払っているわけではないという可能性もなくはないのですが / X
感じ,0.23416089190971284,@calpisab ザンギさんのは酷かったですね。文脈を無視して単語に飛び付いてしまったみたいな感じで。もしもあんなのが100件以上あって負け続けているとしたら、相場より高い着手金を払っているわけではないという可能性もなくはないのですが / X
払う,0.2514009136243397,@calpisab ザンギさんのは酷かったですね。文脈を無視して単語に飛び付いてしまったみたいな感じで。もしもあんなのが100件以上あって負け続けているとしたら、相場より高い着手金を払っているわけではないという可能性もなくはないのですが / X
