名詞,名詞数,動詞,動詞数,形容詞,形容詞数
何,1495,付く,94.0,ない,3289.0
度,394,合わす,9.0,辛い,81.0
指摘,639,分かる,600.0,高い,489.0
東京,587,出る,371.0,緩い,6.0
都,98,超える,99.0,美しい,16.0
開催,76,始まる,63.0,悪い,472.0
イベント,81,加える,42.0,丸い,6.0
日本,1472,患う,36.0,無い,10.0
全体,233,できる,2575.0,著しい,39.0
費用,200,飲む,214.0,多い,565.0
スケジュール,20,合う,75.0,素早い,4.0
意味,513,しれる,491.0,汚い,15.0
家族,185,応じる,164.0,良い,1456.0
友人,383,晒す,109.0,強い,373.0
わけ,1316,上げる,166.0,可愛い,37.0
スポーツ,38,抱える,70.0,近い,87.0
大会,22,呼ぶ,222.0,浅い,7.0
負担,240,持つ,438.0,欲しい,187.0
私,3622,しまう,1084.0,遅い,44.0
よう,2642,縛る,12.0,面白い,43.0
欧州,81,開く,125.0,やすい,207.0
帰国,716,入れる,122.0,素晴らしい,29.0
者,3341,招く,46.0,脂っこい,8.0
たち,995,下げる,56.0,にくい,297.0
今,160,させる,121.0,濃い,9.0
以上,446,耐える,28.0,上手い,38.0
白眼,3,収まる,13.0,程遠い,14.0
視,50,答える,172.0,甘い,33.0
新型,270,みる,416.0,低い,192.0
コロナ,336,触る,27.0,等しい,35.0
遺伝,14,なさる,579.0,正しい,90.0
指紋,1,くださる,1171.0,重い,49.0
作成,77,利く,40.0,狭い,124.0
結果,236,持ち込める,12.0,薄い,8.0
ヨーロッパ,6,見習う,9.0,少ない,173.0
型,60,違う,294.0,痒い,4.0
侵入,10,治まる,2.0,差し出がましい,3.0
判明,23,見る,725.0,微笑ましい,3.0
弊,31,られる,2382.0,容易い,10.0
学,294,せる,970.0,おかしい,248.0
国境,11,くる,1344.0,酷い,32.0
オンライン,123,連ねる,3.0,よろしい,61.0
授業,210,出会う,14.0,しろい,1.0
導入,99,連れる,15.0,若い,74.0
学習,106,訪れる,96.0,古くさい,4.0
管理,152,聞く,247.0,興味深い,10.0
システム,45,よる,119.0,暗い,15.0
遠隔,9,こき使う,4.0,弱い,87.0
ツール,27,果たす,22.0,きめ細かい,3.0
追加,61,届く,135.0,清々しい,2.0
中国,238,きめる,5.0,凄い,37.0
アクセス,56,掛ける,101.0,羨ましい,23.0
基本,148,かねる,387.0,芳しい,6.0
的,3379,得る,921.0,長い,78.0
乳製品,2,気づく,109.0,恐ろしい,31.0
脂肪,3,す,30.0,いい,56.0
潰瘍,262,疑う,69.0,よい,28.0
性,2102,思う,1623.0,大きい,228.0
大腸,287,くれる,395.0,痛い,32.0
炎,269,基づく,233.0,早い,175.0
身,97,守る,241.0,美味しい,119.0
貢献,44,いける,334.0,眠い,2.0
ところ,481,禁じる,37.0,怖い,39.0
小学校,90,決める,55.0,怪しい,28.0
中学校,166,被る,47.0,難しい,42.0
給食,35,使う,396.0,楽しい,48.0
牛乳,5,見える,155.0,深い,41.0
確率,22,載せる,61.0,悲しい,31.0
お腹,21,向く,46.0,疑わしい,8.0
自粛,33,貼る,61.0,恋しい,11.0
要請,100,信じる,77.0,寂しい,9.0
民間,123,いたす,314.0,面倒くさい,37.0
事業,144,ちゃう,170.0,言うまでもない,23.0
国,425,呆れる,21.0,感慨深い,3.0
大阪,139,構う,145.0,激しい,10.0
府知事,4,読み直す,4.0,しょうもない,2.0
休業,8,返す,48.0,鋭い,9.0
施設,382,求める,744.0,優しい,50.0
公表,59,訊く,34.0,寒い,13.0
今週,19,進む,98.0,広い,66.0
中,329,考える,1190.0,冷たい,42.0
読売新聞,20,いく,285.0,気持ち良い,5.0
資金,51,言う,1802.0,厳しい,53.0
力,350,振り込む,9.0,近しい,2.0
余裕,69,喜ぶ,34.0,有り難い,40.0
私立,65,変える,83.0,珍しい,25.0
大学,1201,いう,706.0,やむを得ない,40.0
ならでは,7,取る,283.0,ややこしい,3.0
芸当,2,強いる,115.0,余儀ない,35.0
慶應義塾,122,来る,217.0,ほしい,5.0
ドル,11,生まれる,159.0,赤い,17.0
箱,302,行き着く,8.0,温かい,84.0
幼稚,17,阻む,41.0,相応しい,10.0
舎,6,受け入れる,67.0,安い,87.0
財力,2,思わす,95.0,数多い,9.0
卒業生,48,挙げる,180.0,四角い,4.0
寄付,34,見捨てる,46.0,遠い,41.0
期待,61,冒す,6.0,すごい,3.0
背景,51,知れる,35.0,白い,7.0
慶,32,なくなる,28.0,好ましい,9.0
支援,264,探す,69.0,やましい,5.0
補助,21,助ける,29.0,ダサい,38.0
制度,206,宣う,23.0,勇ましい,14.0
設置,87,調べる,65.0,嬉しい,33.0
