時間(JST),時間(UTC),日曜,月曜,火曜,水曜,木曜,金曜,土曜
0,15,58,31,37,17,20,40,24
1,16,50,8,28,12,30,23,13
2,17,45,21,30,16,15,20,11
3,18,30,19,17,15,26,15,14
4,19,30,12,47,13,14,11,14
5,20,41,15,37,22,13,19,7
6,21,16,13,47,21,9,18,37
7,22,7,8,44,34,13,11,27
8,23,32,11,43,13,5,12,29
9,0,27,12,18,8,19,10,13
10,1,13,8,14,35,45,13,23
11,2,27,17,10,18,16,11,15
12,3,11,29,7,22,17,9,12
13,4,28,9,11,9,34,12,19
14,5,24,44,13,10,15,18,13
15,6,25,19,15,7,13,11,21
16,7,11,15,16,18,10,17,37
17,8,27,16,25,19,15,14,20
18,9,23,10,37,28,26,12,21
19,10,27,25,12,21,20,22,26
20,11,24,13,16,27,15,19,26
21,12,17,50,11,33,22,21,32
22,13,16,36,2,25,11,29,16
23,14,30,18,15,21,21,29,44
