時間,日曜,月曜,火曜,水曜,木曜,金曜,土曜
00,177,137,155,95,97,99,163
01,141,96,125,116,98,103,153
02,194,95,144,87,109,108,159
03,159,110,116,110,93,74,95
04,155,115,142,112,87,70,87
05,127,119,176,118,81,70,106
06,154,104,157,112,73,76,102
07,105,108,149,128,102,69,88
08,97,69,144,90,81,82,90
09,100,84,111,80,66,44,67
10,96,71,114,103,81,40,66
11,105,100,136,120,78,56,95
12,81,104,138,105,71,67,71
13,87,51,96,114,111,63,81
14,121,112,118,86,70,100,81
15,102,105,124,91,103,74,72
16,121,110,147,126,99,95,97
17,197,115,139,113,130,79,123
18,153,80,138,122,126,99,143
19,156,103,87,98,148,101,145
20,128,86,126,119,103,128,126
21,118,164,112,102,93,126,153
22,117,145,128,107,97,141,99
23,186,145,119,89,91,150,213
