組み合わせ,共起回数
"アサノ, アサノ, フミ, 直",7
"アサノ, アサノ, フミ, 為る, 直",23
"アサノ, フミ, 為る, 直",51
"アサノ, フミ, 為る, 為る, 直",87
"フミ, 為る, 直",29
"フミ, 為る, 為る, 直",47
"アサノ, アサノ, フミ",5
"アサノ, アサノ, フミ, 為る",13
"アサノ, フミ, 為る",28
"アサノ, フミ, 為る, 為る",44
"フミ, 為る",16
"フミ, 為る, 為る",24
"言う, 費用",5
"アサノ, 言う, 費用",12
"事, 言う, 費用",9
"アサノ, 事, 言う, 費用",24
"アサノ, 事, 費用",12
"アサノ, アサノ, 事, 費用",12
"アサノ, 為る, 費用",6
"アサノ, 為る, 言う, 費用",12
"アサノ, 事, 為る, 費用",12
"アサノ, アサノ, 為る, 費用",6
"アサノ, 事, 為る, 言う, 費用",12
"アサノ, アサノ, 為る, 言う, 費用",6
"アサノ, アサノ, 事, 為る, 費用",6
"アサノ, アサノ, 事, 為る, 言う, 費用",6
"事, 為る, 費用",7
"事, 弁護, 為る, 費用",9
"事, 弁護, 為る, 言う, 費用",9
"事, 弁護, 弁護, 為る, 言う, 費用",9
"弁護, 弁護, 為る, 言う, 費用",9
"事, 為る, 言う, 費用",11
"弁護, 為る, 費用",9
"弁護, 弁護, 為る, 費用",9
"アサノ, 費用",6
"アサノ, アサノ, 費用",6
"請求, 費用",6
"弁護, 請求, 費用",30
"請求, 請求, 費用",6
"弁護, 請求, 請求, 費用",6
"弁護, 費用",13
"弁護, 弁護, 費用",23
"事, 言う, 訴訟",9
"事, 為る, 言う, 訴訟",20
"事, 為る, 訴訟",11
"事, 為る, 為る, 訴訟",12
"暇, 言う, 訴訟",8
"暇, 為る, 言う, 訴訟",34
"暇, 為る, 訴訟",17
"暇, 為る, 為る, 訴訟",31
"言う, 訴訟",7
"為る, 言う, 訴訟",18
"為る, 訴訟",10
"為る, 為る, 訴訟",12
"為, 言う",5
"為, 為る, 言う",6
"為, 為る",9
"為, 為る, 為る",11
"暇, 裁判",6
"暇, 為る, 裁判",19
"為る, 裁判",15
"為る, 為る, 裁判",22
"今日, 為る",7
"上げる, 為る",6
"最近, 為る",11
"弁護, 空, 言う",6
"弁護, 暇, 空, 言う",12
"弁護, 為る, 空, 言う",18
"弁護, 弁護, 空, 言う",6
"弁護, 暇, 為る, 空, 言う",12
"弁護, 弁護, 暇, 空, 言う",6
"弁護, 弁護, 為る, 空, 言う",6
"弁護, 弁護, 暇, 為る, 空, 言う",6
"暇, 暇, 空, 言う",8
"暇, 暇, 為る, 空, 言う",36
