名詞,名詞数,動詞,動詞数,形容詞,形容詞数
アサノ,11,為る,151.0,無い,37.0
フミ,5,言う,40.0,怖い,2.0
直,6,ぶら下げる,1.0,ださい,6.0
給与,1,話す,1.0,仕方無い,1.0
生活,4,居る,57.0,面白い,4.0
引っ越し,1,沿う,1.0,重い,1.0
費用,5,崩れる,1.0,欲しい,6.0
誹謗,11,遣る,7.0,良い,15.0
中傷,11,有る,22.0,強い,2.0
訴訟,5,負ける,1.0,痛々しい,1.0
負担,1,収める,1.0,正しい,1.0
莫大,1,積み重ねる,1.0,旨い,4.0
経済,1,出来る,14.0,深い,2.0
利益,1,捨てる,4.0,多い,1.0
上,4,作る,1.0,優しい,1.0
事,41,重ねる,1.0,広い,1.0
意向,1,冴える,1.0,嬉しい,1.0
形,1,変わる,1.0,寂しい,1.0
訳,4,垂れ流す,2.0,痛い,1.0
告発,7,上げる,5.0,軽い,1.0
根本,2,申し上げる,2.0,凄まじい,1.0
自首,1,下さる,11.0,物凄い,2.0
定期,1,齎す,2.0,浅い,2.0
刑事,4,出す,3.0,悪い,1.0
為,5,言い張る,1.0,楽しい,1.0
沈黙,1,唱える,1.0,凄い,3.0
期間,2,抜ける,1.0,辛い,2.0
突入,1,込める,1.0,長い,1.0
経過,2,呼ぶ,3.0,少ない,1.0
成果,2,思う,19.0,難しい,1.0
青少年,2,来る,9.0,腑甲斐無い,1.0
保護,3,沸く,2.0,有り難い,1.0
団体,3,過ぎる,8.0,めでたい,1.0
設立,2,押し付ける,1.0,早い,2.0
決意,1,忘れる,2.0,美味しい,2.0
表明,1,委ねる,1.0,悲しい,2.0
箇月,2,付く,5.0,情けない,1.0
進展,1,抱える,3.0,空恐ろしい,1.0
暇,32,感ずる,2.0,羨ましい,1.0
ア-a,25,仕舞う,10.0,危うい,1.0
ノン-non,25,止める,4.0,,
本人,2,断つ,1.0,,
世界,2,使う,3.0,,
中,4,切る,2.0,,
絶対,3,強請る,1.0,,
監査,4,救う,1.0,,
棄却,1,叩く,2.0,,
却下,2,跳ね返る,1.0,,
トウキョウ,1,聞く,4.0,,
都,2,成る,24.0,,
委員,1,祈る,2.0,,
会,2,残る,1.0,,
勝利,1,従う,1.0,,
裁判,5,起きる,1.0,,
敗訴,3,受ける,2.0,,
司法,6,禁ずる,1.0,,
必勝,1,得る,5.0,,
際,2,付ける,5.0,,
今日,5,嘗める,1.0,,
開示,6,行く,5.0,,
垢,7,対する,2.0,,
アンチ-anti,1,呉れる,5.0,,
フェミ-外国,1,認める,5.0,,
リプ-replay,4,待つ,1.0,,
中年,1,見る,11.0,,
男性,2,つく,6.0,,
本当,7,出る,3.0,,
臆病,1,分かる,1.0,,
卑怯,4,考える,1.0,,
人生,4,買う,3.0,,
一,14,続ける,2.0,,
自身,1,読む,2.0,,
確認,1,干す,1.0,,
匿名,2,張り付く,1.0,,
侭,3,喚く,1.0,,
悔やみ,1,吊る,1.0,,
住民,1,受かる,3.0,,
暁,1,経つ,2.0,,
発狂,1,答える,1.0,,
敗北,2,貰う,4.0,,
社会,3,置く,3.0,,
評価,3,進む,3.0,,
低下,3,いらっしゃる,1.0,,
実害,2,申す,1.0,,
不正,3,掻く,1.0,,
活動,3,挑む,1.0,,
妨害,2,因る,2.0,,
互い,1,継ぐ,1.0,,
実名,1,消す,1.0,,
一方,4,取り消す,1.0,,
方,14,越える,1.0,,
表,1,支払う,2.0,,
具体,1,ばれる,1.0,,
立証,1,現われる,3.0,,
最近,5,儲かる,1.0,,
ブーム-boom,1,流れる,1.0,,
期日,1,関わる,1.0,,
傍聴,4,始まる,1.0,,
人,6,掛ける,3.0,,
