時間,日曜,月曜,火曜,水曜,木曜,金曜,土曜
00,,,,,,,1.0
01,1.0,2.0,1.0,,,,1.0
02,,,1.0,,,1.0,1.0
03,1.0,1.0,1.0,1.0,,,
04,1.0,2.0,,,,,1.0
05,,1.0,,,1.0,1.0,
06,5.0,1.0,5.0,1.0,,,
07,2.0,2.0,3.0,3.0,,4.0,1.0
08,,,,,,1.0,3.0
09,,,,,1.0,2.0,1.0
10,,,,,,2.0,
11,,1.0,,,1.0,,1.0
13,,1.0,,1.0,1.0,,
14,,,,1.0,,,
15,,1.0,,,,1.0,2.0
16,1.0,1.0,1.0,2.0,1.0,1.0,4.0
17,2.0,,,1.0,4.0,3.0,
18,,,,,1.0,,3.0
19,1.0,2.0,1.0,,2.0,3.0,3.0
20,4.0,1.0,,1.0,2.0,,2.0
21,2.0,1.0,5.0,1.0,3.0,1.0,2.0
22,,,,,1.0,2.0,2.0
23,,2.0,,1.0,2.0,1.0,
