組み合わせ,共起回数
"婦, 慰安, 日本, 韓国",13
"人, 婦, 慰安, 日本, 韓国",159
"婦, 慰安, 慰安, 日本, 韓国",32
"人, 婦, 慰安, 慰安, 日本, 韓国",132
"人, 慰安, 慰安, 日本, 韓国",51
"人, 人, 慰安, 慰安, 日本, 韓国",92
"人, 慰安, 日本, 韓国",57
"人, 人, 慰安, 日本, 韓国",94
"婦, 婦, 慰安, 慰安, 日本, 韓国",25
"人, 婦, 婦, 慰安, 慰安, 日本, 韓国",111
"人, 婦, 婦, 慰安, 日本, 韓国",132
"人, 人, 婦, 婦, 慰安, 日本, 韓国",244
"人, 婦, 婦, 日本, 韓国",51
"人, 人, 婦, 婦, 日本, 韓国",92
"人, 人, 婦, 慰安, 日本, 韓国",186
"人, 婦, 日本, 韓国",57
"人, 人, 婦, 日本, 韓国",94
"人, 日本, 韓国",21
"人, 人, 日本, 韓国",32
"婦, 慰安, 韓国",11
"人, 婦, 慰安, 韓国",147
"婦, 婦, 慰安, 韓国",28
"人, 婦, 婦, 慰安, 韓国",126
"人, 婦, 婦, 韓国",48
"人, 人, 婦, 婦, 韓国",91
"人, 婦, 韓国",51
"人, 人, 婦, 韓国",92
"婦, 婦, 慰安, 慰安, 韓国",23
"人, 婦, 婦, 慰安, 慰安, 韓国",108
"人, 婦, 慰安, 慰安, 韓国",126
"人, 人, 婦, 慰安, 慰安, 韓国",242
"人, 慰安, 慰安, 韓国",48
"人, 人, 慰安, 慰安, 韓国",91
"人, 人, 婦, 慰安, 韓国",183
"人, 慰安, 韓国",51
"人, 人, 慰安, 韓国",92
"人, 韓国",18
"人, 人, 韓国",31
"デモ, 性",11
"デモ, フラワー, 性",14
"デモ, フラワー",14
"人, 人, 人, 軍",10
"人, 人, 人, 日本, 軍",10
"人, 人, 人, 者, 軍",20
"人, 人, 人, 慰安, 軍",30
"人, 人, 人, 婦, 軍",30
"人, 人, 人, 日本, 者, 軍",10
"人, 人, 人, 慰安, 日本, 軍",10
"人, 人, 人, 婦, 日本, 軍",10
"人, 人, 人, 慰安, 者, 軍",20
"人, 人, 人, 婦, 者, 軍",20
"人, 人, 人, 婦, 慰安, 軍",30
"人, 人, 人, 慰安, 日本, 者, 軍",10
"人, 人, 人, 婦, 日本, 者, 軍",10
"人, 人, 人, 婦, 慰安, 日本, 軍",10
"人, 人, 人, 婦, 慰安, 者, 軍",20
"人, 人, 人, 婦, 慰安, 日本, 者, 軍",10
"人, 人, 日本, 者, 者, 軍",22
"人, 人, 慰安, 日本, 者, 者, 軍",54
"人, 人, 婦, 日本, 者, 者, 軍",54
"人, 人, 婦, 慰安, 日本, 者, 者, 軍",54
"人, 人, 婦, 日本, 者, 軍",84
"人, 人, 婦, 慰安, 日本, 者, 軍",228
"人, 人, 婦, 婦, 日本, 者, 軍",72
"人, 人, 婦, 婦, 慰安, 日本, 者, 軍",164
"人, 人, 慰安, 慰安, 日本, 者, 軍",72
"人, 人, 婦, 慰安, 慰安, 日本, 者, 軍",184
"人, 人, 慰安, 慰安, 慰安, 日本, 者, 軍",20
"人, 人, 婦, 慰安, 慰安, 慰安, 日本, 者, 軍",20
"人, 人, 慰安, 日本, 軍",38
"人, 人, 婦, 慰安, 日本, 軍",106
"人, 人, 慰安, 慰安, 日本, 軍",34
"人, 人, 婦, 慰安, 慰安, 日本, 軍",78
"人, 人, 婦, 婦, 日本, 軍",34
"人, 人, 婦, 婦, 慰安, 日本, 軍",88
"人, 人, 婦, 婦, 婦, 日本, 軍",10
"人, 人, 婦, 婦, 婦, 慰安, 日本, 軍",10
"人, 人, 者, 者, 軍",16
"人, 人, 婦, 者, 者, 軍",42
"人, 人, 慰安, 者, 者, 軍",42
"人, 人, 婦, 慰安, 者, 者, 軍",42
"人, 人, 慰安, 者, 軍",72
"人, 人, 婦, 慰安, 者, 軍",204
"人, 人, 慰安, 慰安, 者, 軍",66
"人, 人, 婦, 慰安, 慰安, 者, 軍",152
"人, 人, 婦, 婦, 者, 軍",66
"人, 人, 婦, 婦, 慰安, 者, 軍",172
"人, 人, 婦, 婦, 婦, 者, 軍",20
"人, 人, 婦, 婦, 婦, 慰安, 者, 軍",20
"人, 人, 婦, 軍",34
"人, 人, 婦, 慰安, 軍",98
"人, 人, 婦, 婦, 軍",32
"人, 人, 婦, 婦, 慰安, 軍",74
"人, 人, 慰安, 慰安, 軍",32
"人, 人, 婦, 慰安, 慰安, 軍",84
"人, 人, 慰安, 慰安, 慰安, 軍",10
"人, 人, 婦, 慰安, 慰安, 慰安, 軍",10
"人, 被害, 被害, 軍",12
"人, 慰安, 被害, 被害, 軍",24
"人, 婦, 被害, 被害, 軍",24
"人, 日本, 被害, 被害, 軍",24
"人, 者, 被害, 被害, 軍",36
"人, 婦, 慰安, 被害, 被害, 軍",24
"人, 慰安, 日本, 被害, 被害, 軍",24
"人, 慰安, 者, 被害, 被害, 軍",24
"人, 婦, 日本, 被害, 被害, 軍",24
"人, 婦, 者, 被害, 被害, 軍",24
"人, 日本, 者, 被害, 被害, 軍",24
"人, 婦, 慰安, 日本, 被害, 被害, 軍",24
"人, 婦, 慰安, 者, 被害, 被害, 軍",24
"人, 慰安, 日本, 者, 被害, 被害, 軍",24
"人, 婦, 日本, 者, 被害, 被害, 軍",24
"人, 婦, 慰安, 日本, 者, 被害, 被害, 軍",24
"人, 婦, 慰安, 日本, 日本, 被害, 軍",52
"人, 婦, 慰安, 日本, 日本, 者, 被害, 軍",144
"人, 婦, 慰安, 日本, 者, 被害, 軍",288
"人, 婦, 慰安, 日本, 者, 者, 被害, 軍",288
"人, 婦, 慰安, 者, 被害, 軍",144
"人, 婦, 慰安, 者, 者, 被害, 軍",144
"人, 婦, 婦, 慰安, 日本, 日本, 被害, 軍",26
"人, 婦, 婦, 慰安, 日本, 日本, 者, 被害, 軍",72
"人, 婦, 婦, 慰安, 日本, 者, 被害, 軍",144
"人, 婦, 婦, 慰安, 日本, 者, 者, 被害, 軍",144
"人, 婦, 婦, 慰安, 者, 被害, 軍",72
"人, 婦, 婦, 慰安, 者, 者, 被害, 軍",72
"人, 婦, 婦, 日本, 日本, 被害, 軍",13
"人, 婦, 婦, 日本, 日本, 者, 被害, 軍",36
"人, 婦, 婦, 日本, 者, 被害, 軍",72
"人, 婦, 婦, 日本, 者, 者, 被害, 軍",72
"人, 婦, 婦, 者, 被害, 軍",36
"人, 婦, 婦, 者, 者, 被害, 軍",36
"人, 婦, 日本, 日本, 被害, 軍",26
"人, 婦, 日本, 日本, 者, 被害, 軍",72
"人, 婦, 日本, 者, 被害, 軍",144
"人, 婦, 日本, 者, 者, 被害, 軍",144
"人, 婦, 者, 被害, 軍",72
"人, 婦, 者, 者, 被害, 軍",72
"人, 婦, 婦, 慰安, 慰安, 被害, 軍",13
"人, 婦, 婦, 慰安, 慰安, 者, 被害, 軍",36
"人, 婦, 慰安, 慰安, 者, 被害, 軍",72
"人, 婦, 慰安, 慰安, 者, 者, 被害, 軍",72
"人, 婦, 婦, 慰安, 慰安, 日本, 日本, 被害, 軍",13
"人, 婦, 婦, 慰安, 慰安, 日本, 日本, 者, 被害, 軍",36
"人, 婦, 慰安, 慰安, 日本, 日本, 者, 被害, 軍",72
"人, 婦, 慰安, 慰安, 日本, 日本, 者, 者, 被害, 軍",72
"人, 慰安, 慰安, 日本, 日本, 者, 被害, 軍",36
"人, 慰安, 慰安, 日本, 日本, 者, 者, 被害, 軍",36
"人, 婦, 婦, 慰安, 慰安, 日本, 被害, 軍",26
"人, 婦, 婦, 慰安, 慰安, 日本, 者, 被害, 軍",72
"人, 婦, 慰安, 慰安, 日本, 者, 被害, 軍",144
"人, 婦, 慰安, 慰安, 日本, 者, 者, 被害, 軍",144
"人, 慰安, 慰安, 日本, 者, 被害, 軍",72
"人, 慰安, 慰安, 日本, 者, 者, 被害, 軍",72
"人, 慰安, 慰安, 者, 被害, 軍",36
"人, 慰安, 慰安, 者, 者, 被害, 軍",36
"人, 慰安, 日本, 日本, 被害, 軍",26
"人, 慰安, 日本, 日本, 者, 被害, 軍",72
"人, 慰安, 日本, 者, 被害, 軍",144
"人, 慰安, 日本, 者, 者, 被害, 軍",144
"人, 慰安, 者, 被害, 軍",72
"人, 慰安, 者, 者, 被害, 軍",72
"人, 日本, 日本, 被害, 軍",14
"人, 日本, 日本, 者, 被害, 軍",37
"人, 日本, 者, 被害, 軍",74
"人, 日本, 者, 者, 被害, 軍",72
"人, 者, 被害, 軍",37
"人, 者, 者, 被害, 軍",36
"人, 婦, 慰安, 日本, 軍",25
"人, 婦, 慰安, 日本, 者, 軍",186
"人, 婦, 婦, 慰安, 日本, 軍",60
"人, 婦, 婦, 慰安, 日本, 者, 軍",128
"人, 婦, 婦, 日本, 者, 軍",54
"人, 婦, 婦, 日本, 者, 者, 軍",39
"人, 婦, 日本, 者, 軍",78
"人, 婦, 日本, 者, 者, 軍",63
"人, 慰安, 慰安, 日本, 者, 者, 軍",39
"人, 婦, 慰安, 慰安, 日本, 者, 者, 軍",88
"人, 婦, 慰安, 慰安, 日本, 者, 軍",128
"人, 婦, 婦, 慰安, 慰安, 日本, 者, 軍",94
"人, 婦, 慰安, 慰安, 日本, 軍",60
"人, 婦, 婦, 慰安, 慰安, 日本, 軍",45
"人, 婦, 慰安, 日本, 者, 者, 軍",102
"人, 慰安, 日本, 者, 軍",78
"人, 慰安, 日本, 者, 者, 軍",63
"人, 日本, 者, 軍",36
"人, 日本, 者, 者, 軍",29
"人, 者, 者, 軍",17
"人, 慰安, 者, 者, 軍",39
"人, 婦, 者, 者, 軍",39
"人, 婦, 慰安, 者, 者, 軍",39
"人, 婦, 者, 軍",54
"人, 婦, 慰安, 者, 軍",138
"人, 婦, 婦, 者, 軍",42
"人, 婦, 婦, 慰安, 者, 軍",94
"人, 慰安, 慰安, 者, 軍",42
"人, 婦, 慰安, 慰安, 者, 軍",104
"人, 慰安, 慰安, 慰安, 者, 軍",10
"人, 婦, 慰安, 慰安, 慰安, 者, 軍",10
"人, 慰安, 軍",25
"人, 婦, 慰安, 軍",65
"人, 慰安, 慰安, 軍",20
"人, 婦, 慰安, 慰安, 軍",45
"人, 婦, 婦, 軍",20
"人, 婦, 婦, 慰安, 軍",50
"婦, 慰安, 日本, 日本, 被害, 軍",44
"婦, 慰安, 日本, 日本, 者, 被害, 軍",104
"婦, 慰安, 日本, 者, 被害, 軍",208
"婦, 慰安, 日本, 者, 者, 被害, 軍",176
"婦, 慰安, 者, 被害, 軍",104
"婦, 慰安, 者, 者, 被害, 軍",88
"婦, 慰安, 慰安, 日本, 日本, 被害, 軍",22
"婦, 慰安, 慰安, 日本, 日本, 者, 被害, 軍",52
"婦, 慰安, 慰安, 日本, 者, 被害, 軍",104
"婦, 慰安, 慰安, 日本, 者, 者, 被害, 軍",88
"婦, 慰安, 慰安, 者, 被害, 軍",52
"婦, 慰安, 慰安, 者, 者, 被害, 軍",44
"慰安, 慰安, 日本, 日本, 被害, 軍",11
"慰安, 慰安, 日本, 日本, 者, 被害, 軍",26
"慰安, 慰安, 日本, 者, 被害, 軍",52
"慰安, 慰安, 日本, 者, 者, 被害, 軍",44
"慰安, 慰安, 者, 被害, 軍",26
"慰安, 慰安, 者, 者, 被害, 軍",22
"慰安, 日本, 日本, 被害, 軍",22
"慰安, 日本, 日本, 者, 被害, 軍",52
"慰安, 日本, 者, 被害, 軍",104
"慰安, 日本, 者, 者, 被害, 軍",88
"慰安, 者, 被害, 軍",52
"慰安, 者, 者, 被害, 軍",44
"婦, 婦, 慰安, 慰安, 被害, 軍",11
