名詞,名詞数,動詞,動詞数,形容詞,形容詞数
賛同,2,つける,4.0,ない,20.0
以下,1,求める,6.0,古い,1.0
キャンペーン,1,消す,1.0,遅い,3.0
お願い,4,味わう,1.0,かわいい,1.0
女性,19,もつ,3.0,ひろい,1.0
うそ,5,許す,3.0,いい,13.0
杉田,8,聞ける,2.0,多い,6.0
水脈,5,せる,3.0,やすい,3.0
議員,6,許せる,1.0,良い,3.0
性,76,いく,6.0,嬉しい,1.0
暴力,46,知る,11.0,心強い,1.0
被害,58,終わる,9.0,興味深い,1.0
者,60,受け取る,2.0,黒い,1.0
発言,7,さる,2.0,深い,3.0
撤回,1,いたす,4.0,喜ばしい,1.0
謝罪,4,取り組む,9.0,素晴らしい,1.0
辞職,4,取り寄せる,2.0,難しい,5.0
声,9,みる,18.0,大きい,1.0
よう,20,くる,21.0,粗い,1.0
氏,9,読む,7.0,無い,1.0
暴言,1,あう,1.0,新しい,1.0
度,4,られる,17.0,欲しい,2.0
侮蔑,2,思わす,1.0,正しい,1.0
人,36,悲しむ,1.0,ほしい,5.0
度目,1,愛する,1.0,強い,1.0
生産,2,添える,1.0,安い,1.0
今回,4,読み込む,1.0,少ない,1.0
満身,1,思う,27.0,痛い,1.0
怒り,4,書き直す,1.0,おかしい,2.0
抗議,2,聴く,6.0,悪い,1.0
フラワー,12,送る,4.0,恥ずかしい,1.0
デモ,11,伝える,2.0,軽い,1.0
蔑視,3,読み解く,1.0,高い,1.0
慰安,19,認める,1.0,低い,1.0
婦,19,命じる,2.0,早い,2.0
問題,18,ゆる,1.0,危うい,1.0
原点,1,ふる,2.0,長い,1.0
国,3,観る,3.0,忙しい,2.0
加害,5,語る,3.0,拙い,1.0
差別,5,かかわる,3.0,宜しい,1.0
的,21,変える,5.0,よい,1.0
表明,1,訴える,7.0,色濃い,1.0
北原,4,亡くなる,3.0,弱い,1.0
みのり,4,支える,2.0,すごい,1.0
さん,64,ひる,2.0,こわい,1.0
同意,8,癒す,3.0,楽しい,1.0
性交,4,できる,20.0,おおい,1.0
犯罪,7,行う,4.0,かるい,1.0
月,22,頑張る,3.0,厳しい,1.0
日,36,馳せる,1.0,美しい,1.0
時,3,つどう,2.0,熱い,1.0
参加,15,祈る,1.0,,
梁,3,寄り添う,1.0,,
写真,3,覚える,4.0,,
素敵,7,滑り込む,1.0,,
いま,6,選ぶ,2.0,,
お話,12,届く,2.0,,
そこ,2,暮らす,1.0,,
尹,1,ゆく,1.0,,
美香,1,言う,5.0,,
正義,2,来る,3.0,,
連,2,上げる,3.0,,
バッシング,1,続ける,2.0,,
真相,1,すぎる,4.0,,
日本,26,まもる,1.0,,
軍,11,わかる,5.0,,
解決,2,込める,1.0,,
ため,20,焼く,1.0,,
澄子,2,偲ぶ,1.0,,
ヤン,1,うかがう,1.0,,
チン,1,進める,2.0,,
ジャ,1,並べる,2.0,,
神戸,1,落ち着く,1.0,,
市,9,始まる,2.0,,
キリスト,6,いける,4.0,,
教会,19,いらっしゃる,1.0,,
配布,2,お目にかかる,2.0,,
調整,1,応じる,2.0,,
くだ,2,くださる,11.0,,
外,1,向ける,5.0,,
歓迎,1,おわる,2.0,,
申し込み,4,食らう,1.0,,
お待ち,3,やる,6.0,,
会,25,教える,3.0,,
世話人,4,いただく,5.0,,
蓮見,8,聞く,9.0,,
幸恵,5,閉じる,1.0,,
牧師,6,立てる,1.0,,
単,2,描く,3.0,,
著,3,行く,10.0,,
絶版,2,つながる,1.0,,
古本,1,はじめる,1.0,,
バックグラウンド,1,診る,1.0,,
ドイツ,9,考える,6.0,,
光景,1,混む,1.0,,
の,58,すむ,1.0,,
あとがき,1,めぐる,3.0,,
限り,1,問う,3.0,,
ここ,5,直す,3.0,,
思い,4,打ち破る,1.0,,
購入,2,流せる,1.0,,
用,2,流す,2.0,,
リンドウ,2,呆れる,2.0,,
安,2,受ける,6.0,,
点,2,備わる,1.0,,
順,1,落ちる,1.0,,
アン,1,慣れる,2.0,,
パターン,5,まごつく,1.0,,
あなた,7,つくる,5.0,,
とき,5,占める,1.0,,
私,7,寄る,1.0,,
