時間,日曜,月曜,火曜,水曜,木曜,金曜,土曜
00,,1.0,2.0,2.0,,,1.0
01,1.0,,2.0,1.0,,,1.0
02,1.0,,,,,,
03,1.0,,,,,,1.0
04,,,,1.0,,,2.0
05,,,2.0,2.0,,1.0,1.0
06,2.0,1.0,2.0,4.0,,1.0,2.0
07,3.0,2.0,,5.0,,6.0,
08,2.0,,3.0,3.0,,,3.0
09,,,1.0,1.0,,3.0,5.0
10,1.0,,1.0,,,1.0,1.0
11,2.0,1.0,3.0,2.0,3.0,,1.0
12,1.0,1.0,1.0,,2.0,3.0,2.0
13,,,1.0,,,2.0,2.0
14,1.0,,1.0,,,3.0,3.0
15,1.0,1.0,2.0,4.0,,9.0,
16,1.0,,,,1.0,,1.0
17,1.0,2.0,1.0,2.0,1.0,4.0,1.0
18,,3.0,1.0,2.0,1.0,1.0,7.0
19,4.0,2.0,5.0,,1.0,2.0,3.0
20,5.0,3.0,4.0,,1.0,2.0,8.0
21,4.0,9.0,5.0,1.0,,5.0,8.0
22,3.0,3.0,10.0,,1.0,5.0,2.0
23,1.0,3.0,,3.0,7.0,7.0,3.0
