単語,重要度,該当文章
うそ,0.21252378597009047,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
お願い,0.2205304084163913,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
つける,0.2205304084163913,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
キャンペーン,0.2607691715674324,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
以下,0.2607691715674324,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
女性,0.16190404686763374,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
撤回,0.2607691715674324,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
暴力,0.1363490538667277,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
杉田,0.21252378597009047,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
水脈,0.21252378597009047,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
求める,0.20575428314814886,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
発言,0.1998902730756506,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
被害,0.13146459762174284,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
謝罪,0.2303297223215415,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
議員,0.21252378597009047,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
賛同,0.5215383431348648,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
辞職,0.2205304084163913,賛同しました。以下のキャンペーンに賛同をお願いします！「「女性はいくらでもうそをつけますから」杉田水脈議員の性暴力被害者への発言撤回、謝罪、辞職を求めます。」 ://./0EGXRaxvwS @change_jpより / 
うそ,0.17596518687092963,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
つける,0.18259450042535022,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
ない,0.13218806379660328,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
もつ,0.19070812448232674,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
よう,0.13809734277115213,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
デモ,0.16122224925953246,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
フラワー,0.15739128211097678,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
今回,0.18259450042535022,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
侮蔑,0.2011684051853031,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
味わう,0.2159113427967002,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
女性,0.13405311660612138,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
度目,0.2159113427967002,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
怒り,0.18259450042535022,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
抗議,0.2011684051853031,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
暴力,0.11289412445677866,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
暴言,0.2159113427967002,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
杉田,0.35193037374185926,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
水脈,0.17596518687092963,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
求める,0.17036018212452497,声にならない声を消し去るような杉田氏の暴言。2度も侮蔑を味わった人がいます。1度目は「LGBTには生産性がない」そして今回「女性はいくらでもうそをつける」発言。満身の怒りをもって抗議します。 #0926フラワーデモ #杉田水脈議員の辞職を求めます #性暴力被害者への蔑視を許さない / 
