組み合わせ,共起回数
"もらう, 作品",13
"人, 必要",10
"人, 必要, 者",14
"必要, 者",10
"人, 家",14
"一, 女性",12
"問題, 問題, 被害, 軍",12
"問題, 問題, 日本, 被害, 軍",24
"問題, 問題, 慰安, 被害, 軍",24
"問題, 問題, 婦, 被害, 軍",24
"問題, 問題, 慰安, 日本, 被害, 軍",24
"問題, 問題, 婦, 日本, 被害, 軍",24
"問題, 問題, 婦, 慰安, 被害, 軍",24
"問題, 問題, 婦, 慰安, 日本, 被害, 軍",24
"問題, 婦, 被害, 軍",25
"問題, 婦, 慰安, 被害, 軍",49
"問題, 婦, 婦, 被害, 軍",12
"問題, 婦, 婦, 慰安, 被害, 軍",12
"問題, 慰安, 被害, 軍",25
"問題, 慰安, 慰安, 被害, 軍",12
"問題, 婦, 慰安, 慰安, 被害, 軍",12
"問題, 日本, 被害, 軍",25
"問題, 慰安, 日本, 被害, 軍",49
"問題, 婦, 日本, 被害, 軍",49
"問題, 日本, 日本, 被害, 軍",12
"問題, 婦, 慰安, 日本, 被害, 軍",49
"問題, 慰安, 日本, 日本, 被害, 軍",12
"問題, 婦, 日本, 日本, 被害, 軍",12
"問題, 婦, 慰安, 日本, 日本, 被害, 軍",12
"慰安, 被害, 軍",16
"慰安, 日本, 被害, 軍",31
"婦, 慰安, 被害, 軍",20
"婦, 慰安, 日本, 被害, 軍",39
"婦, 日本, 被害, 軍",31
"婦, 日本, 日本, 被害, 軍",15
"日本, 被害, 軍",23
"日本, 日本, 被害, 軍",11
"婦, 日本, 日本, 軍",11
"問題, 婦, 日本, 日本, 軍",24
"問題, 婦, 日本, 軍",50
"問題, 問題, 婦, 日本, 軍",48
"問題, 婦, 軍",26
"問題, 問題, 婦, 軍",24
"婦, 慰安, 日本, 日本, 軍",15
"問題, 婦, 慰安, 日本, 日本, 軍",36
"問題, 婦, 慰安, 日本, 軍",74
"問題, 問題, 婦, 慰安, 日本, 軍",72
"問題, 婦, 慰安, 軍",38
"問題, 問題, 婦, 慰安, 軍",36
"慰安, 日本, 日本, 軍",11
"問題, 慰安, 日本, 日本, 軍",24
"問題, 慰安, 日本, 軍",50
"問題, 問題, 慰安, 日本, 軍",48
"問題, 慰安, 軍",26
"問題, 問題, 慰安, 軍",24
"問題, 軍",14
"問題, 日本, 軍",26
"問題, 問題, 軍",12
"問題, 問題, 日本, 軍",12
"日本, 軍",17
"女性, 運動",10
"運動, 韓国",10
"映画, 観る",10
"の, 誰",10
"テーマ, 思う",10
"テーマ, 作品, 思う",20
"テーマ, 作品",12
"好き, 映画",12
"作る, 作品",10
"の, みたい",17
"人, 多く",10
"多く, 女性",19
"多く, 女性, 女性",30
"女性, 視点",13
"人, 働く",10
"祭, 関西",17
"映画, 関西",17
"映画, 祭, 関西",27
"人, 欲しい",10
"日, 月",10
"人, 描く",10
"人, 思う, 描く",27
"思う, 描く",14
"いただく, 皆様",10
"いただく, 映画, 皆様",12
"映画, 皆様",11
"制作, 思う",10
"制作, 女性, 思う",12
"制作, 女性",24
"制作, 女性, 女性",60
"ん, 多い",10
"ん, 多い, 女性",23
"多い, 思う",11
"多い, 女性",18
"多い, 女性, 女性",24
"の, 最近",14
"思う, 知る",10
"人, 思う, 知る",14
"の, 知る",11
"人, 知る",13
"人, 人, 知る",10
"リバー, 上映, 夜",12
"リバー, 上映, 明ける",12
"リバー, 上映, 夜, 明ける",18
"リバー, 夜",17
"リバー, 夜, 明ける",24
"リバー, 明ける",18
"サイド, リバー, 上映, 明ける",12
"サイド, リバー, 上映, 夜",12
"サイド, リバー, 上映, 夜, 明ける",18
"サイド, 上映, 夜",12
"サイド, 上映, 明ける",12
"サイド, 上映, 夜, 明ける",18
"サイド, リバー, 夜",17
"サイド, リバー, 夜, 明ける",24
"サイド, リバー, 明ける",18
"サイド, 夜",17
"サイド, 夜, 明ける",24
"サイド, 明ける",18
"コロナ, 人",12
"考える, 言う",11
"人, 考える, 言う",10
"人, 考える",14
"いただく, せる",10
"人, 感じる",15
"作品, 感じる",12
"人, 作品, 感じる",12
"の, もの",10
"ご覧, 配信",12
"ご覧, 映画, 配信",11
"くださる, 配信",12
"くださる, ご覧, 配信",12
"くださる, 映画, 配信",11
"くださる, ご覧, 映画, 配信",11
"映画, 配信",13
"しまう, 言う",10
"しまう, の",13
"しまう, の, の",10
"の, 年",10
"の, 声, 者",17
"の, 声, 者, 被害",35
"の, 声, 被害",18
"の, 声, 被害, 被害",12
"人, 声, 被害",10
"人, 声, 者, 被害",17
"声, 者, 被害",18
"声, 者",12
"人, 声, 者",13
"人, 声",13
"撮影, 現場",11
"の, 現場",11
"女性, 撮影, 現場",16
"女性, 女性, 撮影, 現場",32
"女性, 女性, 現場",17
"女性, 女性, 女性, 現場",20
"現場, 言う",13
"的, 言う",10
"思う, 的, 言う",11
"人, 思う, 的, 言う",12
"人, 思う, 的",17
"人, 人, 思う, 的",22
"人, 的",16
"人, 人, 的",18
"女性, 社会",11
"女性, 女性, 社会",13
"思う, 社会",13
"人, 思う, 社会",21
"人, 社会",16
"人, 人, 社会",24
"たち, 慰安, 日本",10
"たち, 慰安, 日本, 被害",18
"たち, 慰安, 被害",11
"の, の, 問題, 慰安, 者",12
"の, の, 問題, 慰安, 日本, 者",12
"の, の, 問題, 慰安, 者, 被害",36
"の, の, 問題, 慰安, 日本, 者, 被害",12
"の, 問題, 慰安, 日本, 者",13
"の, 問題, 慰安, 日本, 者, 被害",37
"の, 問題, 慰安, 者, 被害",37
"の, 問題, 慰安, 者, 被害, 被害",36
"問題, 慰安, 日本, 者",17
"問題, 慰安, 日本, 者, 被害",37
"問題, 慰安, 者, 被害",25
"問題, 慰安, 者, 被害, 被害",18
"の, 慰安, 日本, 者",17
"の, 慰安, 日本, 者, 被害",49
"の, の, 慰安, 日本, 者",12
"の, の, 慰安, 日本, 者, 被害",12
"慰安, 日本, 者, 被害",35
"慰安, 日本, 者, 被害, 被害",28
"の, 慰安, 者",15
"の, 慰安, 者, 被害",43
"の, の, 慰安, 者",12
"の, の, 慰安, 者, 被害",12
"慰安, 者, 被害",24
"慰安, 者, 被害, 被害",20
"思う, 慰安, 日本",10
"問題, 思う, 慰安, 日本",14
"問題, 思う, 慰安",16
"人, 慰安, 日本",10
"人, 問題, 慰安, 日本",18
"人, 思う, 慰安",12
"人, 問題, 思う, 慰安",14
"人, 問題, 慰安",17
"の, 問題, 慰安, 日本",10
"の, 問題, 慰安, 日本, 被害",21
"の, 問題, 慰安, 被害",21
"の, 問題, 慰安, 被害, 被害",18
"の, 慰安, 日本",12
"の, 慰安, 日本, 被害",27
"の, 慰安, 被害",24
"の, 慰安, 被害, 被害",21
"問題, 慰安, 被害, 被害",12
"問題, 慰安, 日本, 被害, 被害",18
"慰安, 日本, 被害, 被害",16
"問題, 慰安, 被害",21
"問題, 慰安, 日本, 被害",33
"問題, 問題, 慰安, 被害",12
"問題, 問題, 慰安, 日本, 被害",12
"慰安, 日本, 被害",25
"慰安, 日本",19
"問題, 慰安, 日本",32
"問題, 慰安",28
"問題, 問題, 慰安",15
"たち, 婦, 慰安, 日本",11
"たち, 婦, 慰安, 日本, 被害",19
"たち, 婦, 日本, 被害",18
"たち, 婦, 日本, 被害, 被害",12
"たち, 婦, 被害",11
"たち, 婦, 慰安, 被害",12
"たち, 婦, 慰安",12
"の, の, 問題, 婦, 日本, 者",12
"の, の, 問題, 婦, 慰安, 日本, 者",18
"の, の, 問題, 婦, 日本, 者, 被害",36
"の, の, 問題, 婦, 慰安, 日本, 者, 被害",18
"の, の, 問題, 婦, 慰安, 者",18
"の, の, 問題, 婦, 慰安, 者, 被害",54
"の, の, 問題, 婦, 者, 被害",36
"の, の, 問題, 婦, 者, 被害, 被害",36
"の, 問題, 婦, 慰安, 日本, 者",19
"の, 問題, 婦, 慰安, 日本, 者, 被害",55
"の, 問題, 婦, 日本, 者, 被害",37
"の, 問題, 婦, 日本, 者, 被害, 被害",36
"の, 問題, 婦, 慰安, 者",19
"の, 問題, 婦, 慰安, 者, 被害",55
"の, 問題, 婦, 者, 被害",37
"の, 問題, 婦, 者, 被害, 被害",36
"問題, 婦, 慰安, 者",17
"問題, 婦, 慰安, 者, 被害",37
"問題, 婦, 慰安, 日本, 者",25
"問題, 婦, 慰安, 日本, 者, 被害",55
"問題, 婦, 日本, 者, 被害",37
"問題, 婦, 日本, 者, 被害, 被害",24
"問題, 婦, 者, 被害",25
"問題, 婦, 者, 被害, 被害",18
"の, 婦, 慰安, 日本, 者",23
"の, 婦, 慰安, 日本, 者, 被害",67
"の, の, 婦, 慰安, 日本, 者",18
"の, の, 婦, 慰安, 日本, 者, 被害",18
"婦, 慰安, 日本, 者, 被害",45
"婦, 慰安, 日本, 者, 被害, 被害",36
"の, 婦, 慰安, 者",21
"の, 婦, 慰安, 者, 被害",61
"の, の, 婦, 慰安, 者",18
"の, の, 婦, 慰安, 者, 被害",18
"婦, 慰安, 者, 被害",32
"婦, 慰安, 者, 被害, 被害",27
"の, 婦, 日本, 者",17
"の, 婦, 日本, 者, 被害",49
"の, の, 婦, 日本, 者",12
"の, の, 婦, 日本, 者, 被害",12
"婦, 日本, 者, 被害",35
"婦, 日本, 者, 被害, 被害",28
"の, 婦, 者",15
"の, 婦, 者, 被害",43
"の, の, 婦, 者",12
"の, の, 婦, 者, 被害",12
"婦, 者, 被害",24
"婦, 者, 被害, 被害",20
"婦, 思う, 慰安, 日本",12
"問題, 婦, 思う, 慰安, 日本",20
"問題, 婦, 思う, 日本",14
"問題, 問題, 婦, 思う, 日本",12
"婦, 思う, 慰安",14
"問題, 婦, 思う, 慰安",21
"問題, 婦, 思う",16
"人, 婦, 慰安, 日本",13
"人, 問題, 婦, 慰安, 日本",25
"人, 問題, 婦, 日本",18
"人, 問題, 問題, 婦, 日本",14
"人, 婦, 思う, 慰安",13
"人, 問題, 婦, 思う, 慰安",17
"人, 問題, 婦, 思う",14
"人, 婦, 慰安",14
"人, 問題, 婦, 慰安",21
"人, 問題, 婦",17
"の, 問題, 婦, 慰安, 日本",14
"の, 問題, 婦, 慰安, 日本, 被害",31
"の, 問題, 婦, 日本, 被害",21
"の, 問題, 婦, 日本, 被害, 被害",18
"の, 問題, 婦, 慰安",15
"の, 問題, 婦, 慰安, 被害",31
"の, 問題, 婦, 被害",21
"の, 問題, 婦, 被害, 被害",18
"の, 婦, 慰安, 日本",16
"の, 婦, 慰安, 日本, 被害",37
"の, 婦, 日本, 被害",27
"の, 婦, 日本, 被害, 被害",24
"の, 婦, 慰安",16
"の, 婦, 慰安, 被害",34
"の, 婦, 被害",24
"の, 婦, 被害, 被害",21
"問題, 婦, 慰安, 被害, 被害",18
"問題, 婦, 日本, 被害, 被害",18
"問題, 婦, 慰安, 日本, 被害, 被害",27
"婦, 慰安, 被害, 被害",15
"婦, 慰安, 日本, 被害, 被害",21
"婦, 日本, 被害, 被害",16
"問題, 問題, 婦, 被害",12
"問題, 問題, 婦, 慰安, 被害",18
"問題, 問題, 婦, 日本, 被害",24
"問題, 問題, 婦, 慰安, 日本, 被害",18
"問題, 婦, 慰安, 慰安, 被害",10
"問題, 婦, 慰安, 慰安, 日本, 被害",16
"問題, 婦, 慰安, 日本, 被害",49
"問題, 婦, 慰安, 日本, 日本, 被害",18
"問題, 婦, 日本, 被害",33
"問題, 婦, 日本, 日本, 被害",12
"婦, 慰安, 被害",23
"婦, 慰安, 日本, 被害",33
"婦, 日本, 被害",25
"婦, 慰安, 日本",25
"問題, 婦, 慰安, 日本",46
"問題, 婦, 日本",32
"問題, 問題, 婦, 日本",25
"婦, 慰安",24
"問題, 婦, 慰安",38
"問題, 婦",28
"問題, 問題, 婦",15
"かさなる, 映画",11
"の, 人, 面白い",12
"の, 人, 言う, 面白い",45
"の, 言う, 面白い",16
"の, 言う, 言う, 面白い",30
"人, 面白い",12
"人, 言う, 面白い",45
"言う, 面白い",16
"言う, 言う, 面白い",30
"写真, 撮る",12
"写真, 写真, 撮る",30
"写真, 写真",25
"写真, 写真, 写真",25
"やる, 人",11
"の, やる",13
"いける, 思う",17
"くる, 投票",10
"今, 投票",10
"人, 今, 投票",15
"思う, 投票",12
"人, 思う, 投票",13
"投票, 選挙",13
"人, 投票, 選挙",10
"人, 投票",15
"思う, 行く",10
"行く, 選挙",11
"人, 行く, 選挙",18
"人, 行く",17
"人, 人, 行く",12
"の, 性",14
"今, 選挙",10
"人, 今, 選挙",13
"女性, 選挙",11
"人, 選挙",16
"人, 人, 選挙",10
"すぎる, ん",10
"すぎる, の",11
"すぎる, 思う",13
"ん, 撮影",11
"ん, 女性, 撮影",32
"女性, 撮影",16
"女性, 女性, 撮影",32
"明ける, 映画",12
"夜, 明ける, 映画",18
"上映, 明ける",12
"上映, 夜, 明ける",18
"夜, 明ける",26
"人, 聞く, 言う",10
"の, 人, 聞く, 言う",11
"の, 聞く, 言う",11
"たち, の, 人, 聞く",10
"たち, の, 女性, 聞く",16
"たち, の, 女性, 女性, 聞く",14
"たち, 人, 聞く",12
"たち, 女性, 聞く",14
"たち, 女性, 女性, 聞く",13
"女性, 思う, 聞く",10
"人, 思う, 聞く",17
"人, 人, 思う, 聞く",15
"女性, 女性, 聞く",11
"の, 女性, 女性, 聞く",10
"の, 女性, 聞く",14
"人, 聞く",16
"の, 聞く",16
"の, 人, 聞く",15
"ご覧, 映画",11
"くださる, ご覧, 映画",10
"くださる, ご覧",21
"女性, 者, 被害",14
"問題, 女性, 者, 被害",36
"問題, 女性, 被害",19
"問題, 問題, 女性, 被害",15
"たち, の, 人, 被害",12
"たち, の, 人, 者, 被害",24
"たち, の, 人, 日本, 被害",12
"たち, の, 人, 日本, 者, 被害",12
"たち, の, 日本, 被害",15
"たち, の, 日本, 者, 被害",26
"たち, の, 者, 被害",20
"たち, 人, 被害",12
"たち, 人, 者, 被害",24
"たち, 人, 日本, 被害",12
"たち, 人, 日本, 者, 被害",12
"たち, 日本, 被害",17
"たち, 日本, 者, 被害",28
"たち, 者, 被害",21
"日本, 被害, 被害",11
"日本, 者, 被害, 被害",20
"の, 日本, 被害, 被害",15
"の, 日本, 者, 被害, 被害",15
"問題, 問題, 被害, 被害",12
"問題, 問題, 者, 被害, 被害",30
"人, 問題, 問題, 被害, 被害",18
"人, 問題, 問題, 者, 被害, 被害",18
"人, 問題, 被害, 被害",21
"人, 問題, 者, 被害, 被害",60
"問題, 者, 被害, 被害",36
"問題, 者, 者, 被害, 被害",30
"の, の, 被害, 被害",12
"の, の, 者, 被害, 被害",24
"の, 人, 被害, 被害",12
"の, 人, 者, 被害, 被害",24
"の, 者, 被害, 被害",30
"の, 者, 者, 被害, 被害",15
"人, 被害, 被害",18
"人, 者, 被害, 被害",30
"者, 被害, 被害",24
"者, 者, 被害, 被害",16
"問題, 問題, 日本, 被害",12
"問題, 問題, 日本, 者, 被害",12
"問題, 日本, 者, 被害",19
"の, 問題, 日本, 被害",11
"の, 問題, 日本, 者, 被害",19
"の, 日本, 者, 被害",31
"の, 日本, 者, 者, 被害",15
"日本, 者, 被害",25
"の, 問題, 被害",11
"の, 問題, 者, 被害",19
"問題, 問題, 被害",15
"問題, 問題, 者, 被害",33
"人, 問題, 問題, 被害",18
"人, 問題, 問題, 者, 被害",18
"人, 問題, 被害",21
"人, 問題, 者, 被害",60
"問題, 者, 被害",40
"問題, 者, 者, 被害",30
"の, 人, 被害",14
"の, 人, 者, 被害",28
"人, 者, 被害",35
"人, 者, 者, 被害",26
"の, 被害",22
"の, 者, 被害",40
"の, の, 被害",15
"の, の, 者, 被害",15
"者, 被害",33
"者, 者, 被害",18
"映画, 監督",11
"女性, 映画, 監督",16
"女性, 監督",25
"女性, 女性, 監督",38
"くれる, 良い",12
"くれる, 良い, 言う",16
"くれる, 時, 良い",12
"くれる, 時, 良い, 言う",12
"くれる, 映画",14
"くれる, 時",14
"くれる, 時, 言う",13
"くれる, の, 映画",10
"くれる, の, 言う, 言う",12
"くれる, の, 人, 言う, 言う",30
"くれる, の, 言う, 言う, 言う",10
"くれる, の, 人, 言う, 言う, 言う",10
"くれる, の, 人, 言う",15
"くれる, の, 人, 人, 言う",15
"くれる, の, 人",13
"くれる, 言う, 言う",14
"くれる, 人, 言う, 言う",30
"くれる, 言う, 言う, 言う",10
"くれる, 人, 言う, 言う, 言う",10
"くれる, 人, 言う",19
"くれる, 人, 人, 言う",17
"くれる, 人",18
"くれる, 人, 人",11
"女性, 日本",10
"問題, 女性, 日本",10
"たち, 思う, 日本",10
"たち, 思う, 日本, 者",18
"たち, 日本, 者",12
"日本, 者",12
"の, 日本, 者",11
"の, 日本",13
"の, 人, 日本",10
"人, 日本",14
"人, 問題, 日本",11
"思う, 日本",15
"問題, 日本",19
"問題, 問題, 日本",13
"夜, 良い",10
"夜, 撮る",10
"夜, 撮る, 良い",12
"上映, 夜",12
"夜, 映画",13
"わかる, 今",10
"の, わかる",11
"わかる, 思う",15
"わかる, 人",15
"わかる, 人, 思う",15
"くる, 言う",10
"くる, 思う, 言う",10
"くる, 見る",11
"くる, 思う",12
"くる, 人, 思う",11
"くる, たち",13
"くる, たち, 人",11
"くる, の",13
"くる, 人",14
"の, 嬉しい",13
"くださる, 日",12
"参加, 映画",10
"人, 参加",11
"参加, 私",14
"さん, 参加, 私",10
"さん, 参加",16
"の, 問題",11
"問題, 問題, 者",12
"人, 問題, 問題, 者",18
"人, 問題, 問題",13
"問題, 女性",12
"問題, 女性, 者",15
"問題, 思う",14
"人, 問題, 思う",11
"問題, 者, 者",10
"人, 問題, 者, 者",19
"人, 問題, 者",22
"人, 問題",24
"人, 人, 問題",10
"よう, 人, 自分",10
"の, よう, 自分",11
"の, の, よう, 自分",15
"思う, 自分",14
"の, 人, 自分",16
"の, の, 人, 自分",13
"の, の, 自分",17
"人, 自分",22
"できる, 思う",12
"できる, 人, 思う",12
"できる, 映画",16
"できる, の, 映画",18
"できる, の",19
"できる, の, の",18
"できる, 人",21
"できる, 人, 人",16
"中, 映画",10
"中, 作品, 映画",10
"の, 中",13
"中, 作品",13
"上映, 祭",10
"上映, 映画, 祭",16
"祭, 見る",11
"映画, 祭, 見る",17
"作品, 祭",11
"作品, 映画, 祭",23
"の, 祭",12
"の, 映画, 祭",28
"の, の, 祭",12
"の, の, 映画, 祭",12
"女性, 映画, 祭",15
"女性, 女性, 映画, 祭",15
"女性, 女性, 祭",15
"女性, 女性, 女性, 祭",20
"映画, 祭",47
"映画, 映画, 祭",17
"見る, 話",10
"思う, 見る, 話",11
"ん, 話",10
"ん, 思う, 話",10
"女性, 話",10
"の, 女性, 話",10
"思う, 私, 話",10
"の, 思う, 私, 話",18
"の, 私, 話",17
"の, の, 私, 話",12
"人, 思う, 話",10
"の, 人, 思う, 話",11
"の, 人, 話",11
"思う, 言う, 話",18
"の, 思う, 言う, 話",26
"の, 言う, 話",22
"の, の, 言う, 話",12
"思う, 話",20
"の, 思う, 話",27
"の, 話",28
"の, の, 話",13
"たち, 思う, 者",11
"たち, 女性, 思う, 者",12
"たち, 女性, 思う",16
"たち, 女性, 女性, 思う",22
"たち, 人, 思う",18
"たち, 人, 人, 思う",10
"たち, 女性, 者",12
"たち, 女性, 女性, 者",21
"たち, の, 者",12
"たち, の, 人, 者",16
"たち, 人, 者",17
"たち, の, 女性",16
"たち, の, 人",17
"たち, 女性",22
"たち, 女性, 女性",23
"たち, 人",28
"たち, 人, 人",12
"それ, 言う",12
"それ, 思う",13
"それ, ん",15
"それ, ん, 女性",21
"それ, 女性",20
"それ, 女性, 女性",26
"それ, の",24
"それ, の, の",16
"いただく, 作品",11
"いただく, さん",11
"いただく, 見る",12
"いただく, 映画",18
"人, 者, 者",10
"女性, 者, 者",12
"人, 者",19
"の, 人, 者",13
"の, 者",20
"の, の, 者",12
"女性, 者",24
"女性, 女性, 者",27
"られる, 女性",10
"られる, 言う",10
"られる, 私",14
"の, られる, 私",13
"られる, 見る",14
"られる, 人",14
"の, られる",16
"いく, 撮る",10
"いく, 女性, 思う",10
"いく, 女性, 女性, 思う",10
"いく, 女性, 女性",10
"いく, 人",11
"いく, 映画",11
"いく, 思う",15
"いく, の",15
"いく, の, 思う",11
"ない, の, 思う",14
"ない, 人, 思う",22
"ない, 人, 人, 思う",25
"ない, の, の",11
"ない, の, 人",12
"ない, 人",28
"ない, 人, 人",29
"作品, 良い",10
"人, 良い",11
"良い, 言う",12
"思う, 良い",12
"の, 思う, 良い",11
"ん, 良い",13
"映画, 良い",15
"の, 良い",17
"ん, 撮る",10
"撮る, 撮る",11
"思う, 撮る, 見る",11
"作品, 思う, 撮る, 見る",12
"作品, 撮る, 見る",13
"撮る, 言う",14
"の, 撮る",15
"の, 思う, 撮る",13
"撮る, 映画",15
"思う, 撮る, 映画",13
"作品, 撮る",18
"作品, 思う, 撮る",12
"思う, 撮る",19
"よう, 人",10
"よう, 思う",13
"の, よう, 思う",10
"よう, 女性",14
"よう, 女性, 女性",10
"の, よう",18
"の, の, よう",11
"ん, 時",12
"時, 私",14
"時, 言う",14
"の, 時",15
"の, 作品, 時",10
"作品, 時",16
"作品, 作品, 時",13
"上映, 映画",18
"くださる, 上映, 映画",12
"くださる, 上映",22
"くださる, 方",10
"方, 言う",11
"の, 方, 言う",12
"ん, 方",15
"思う, 方",17
"の, 思う, 方",21
"方, 映画",22
"の, 方",23
"の, の, 方",12
"今, 映画",10
"ん, 今",11
"今, 言う",12
"の, 人, 今",10
"人, 人, 今",11
"人, 今, 思う",13
"今, 思う",25
"の, 今",25
"の, の, 今",10
"くださる, 私",11
"映画, 私",14
"の, 映画, 私",18
"ん, 私",15
"ん, 女性, 私",16
"人, 私",17
"の, 人, 私",10
"思う, 思う, 私, 言う",10
"の, 思う, 思う, 私, 言う",14
"の, 思う, 私, 言う",32
"の, の, 思う, 私, 言う",17
"の, 私, 言う",24
"の, の, 私, 言う",11
"女性, 思う, 私",10
"女性, 女性, 思う, 私",15
"女性, 女性, 私",33
"女性, 女性, 女性, 私",41
"思う, 思う, 私",10
"の, 思う, 思う, 私",11
"の, 思う, 私",27
"の, の, 思う, 私",16
"の, 私",38
"の, の, 私",19
"ん, 作品",11
"くださる, 作品",12
"作品, 思う, 見る",12
"の, 作品, 思う, 見る",10
"の, 作品, 見る",15
"人, 作品, 言う",13
"人, 作品, 作品, 言う",11
"人, 作品, 作品",17
"作品, 作品, 思う",12
"作品, 作品, 思う, 言う",15
"の, 作品, 作品",12
"作品, 作品, 言う",13
"作品, 言う, 言う",10
"作品, 思う, 言う, 言う",11
"作品, 思う, 言う",21
"作品, 映画",22
"の, 作品, 映画",19
"作品, 思う",24
"の, 作品",24
"の, 作品, 思う",16
"さん, 映画",11
"さん, 映画, 見る",11
"さん, さん",15
"さん, 見る",15
"さん, 見る, 見る",11
"女性, 見る",10
"見る, 言う",12
"思う, 見る, 言う",10
"ん, 見る",13
"見る, 見る",16
"人, 見る",19
"人, 思う, 見る",21
"の, の, 見る",10
"の, の, 映画, 見る",18
"の, 映画, 見る",16
"の, 映画, 映画, 見る",12
