名詞,名詞数,動詞,動詞数,形容詞,形容詞数
自分,30,かさなる,20.0,すごい,13.0
作品,56,観る,11.0,よい,8.0
印象,6,いただく,33.0,面白い,20.0
的,19,働く,13.0,古い,2.0
瞬間,1,悩む,1.0,嬉しい,29.0
心,6,言う,83.0,黒い,1.0
幸い,2,いただける,16.0,良い,36.0
明日,8,あり,1.0,心強い,2.0
上映,42,撮る,38.0,多い,15.0
今日,18,思う,109.0,いい,17.0
関西,13,届く,4.0,早い,9.0
入り,1,できる,31.0,欲しい,13.0
映画,92,染み込む,1.0,大きい,5.0
祭,32,でる,4.0,ない,35.0
スタッフ,8,作る,12.0,羨ましい,1.0
皆様,15,見る,68.0,優しい,3.0
安心,7,くれる,26.0,美味しい,1.0
方,42,選ぶ,2.0,ありがたい,4.0
西部,2,携わる,1.0,おかしい,4.0
講堂,2,映る,2.0,づらい,2.0
自治,1,使う,11.0,詳しい,2.0
精神,1,目立つ,1.0,しんどい,3.0
話,32,泊まる,1.0,悪い,6.0
出身,3,死ぬ,5.0,やすい,9.0
高校,2,感じる,17.0,低い,2.0
体育,1,飲む,6.0,少ない,8.0
時期,4,探す,1.0,短い,2.0
よう,39,みる,10.0,楽しい,12.0
感じ,11,くださる,69.0,丸い,1.0
バイト,3,買う,5.0,新しい,4.0
先,4,来る,10.0,っぽい,4.0
日活,1,向き合う,6.0,可愛い,6.0
人,110,思い出す,4.0,熱い,3.0
私,54,もらう,10.0,ほしい,8.0
ルーツ,1,行う,7.0,かわいい,5.0
の,130,くる,28.0,難しい,7.0
みんな,8,いらっしゃる,3.0,ひどい,7.0
ん,72,出る,10.0,苦しい,1.0
知多半島,1,駆けつける,3.0,弱い,1.0
グランプリ,1,載る,1.0,ものすごい,2.0
観客,2,替わる,1.0,悔しい,1.0
投票,21,聞ける,4.0,上手い,1.0
おかげ,5,越す,1.0,素晴らしい,4.0
前,12,下さる,2.0,明るい,4.0
段階,2,会う,5.0,強い,10.0
おかけ,1,く,5.0,酷い,2.0
制作,15,盛り上がる,2.0,懐かしい,6.0
キャスト,4,沈める,2.0,にくい,1.0
誰,11,引き込む,1.0,激しい,1.0
冒頭,1,致す,2.0,細かい,1.0
シーン,8,やる,20.0,根強い,1.0
殺虫,3,がんばる,3.0,暗い,2.0
灯,3,受ける,10.0,うれしい,2.0
これ,17,受け取る,1.0,深い,1.0
絶対,4,まねく,1.0,気持ち良い,1.0
最初,2,落ち着く,2.0,高い,3.0
ナイト,1,行く,21.0,くだらない,2.0
予定,7,詰む,1.0,うるさい,1.0
結局,4,すぎる,22.0,手厚い,2.0
今,46,教える,5.0,怖い,7.0
ホテル,1,諦める,2.0,つまんない,1.0
めちゃくちゃ,9,表す,3.0,厳しい,3.0
虫,1,いける,20.0,つらい,1.0
音,2,異なる,1.0,めんどくさい,1.0
昼間,1,休める,1.0,辛い,2.0
ただ,3,違う,7.0,遠い,1.0
物体,1,寄せる,1.0,安い,1.0
良品,1,覆す,1.0,軽い,1.0
二,1,向ける,1.0,かっこよい,1.0
回,10,始まる,5.0,若い,4.0
劇,2,られる,34.0,美しい,1.0
中,31,迎える,1.0,痛い,1.0
個,2,話す,12.0,危ない,1.0
目,14,起こる,4.0,悲しい,1.0
当時,6,かかる,2.0,印象深い,1.0
テーマ,11,つける,6.0,やばい,1.0
賞,3,送る,3.0,もったいない,1.0
もの,17,困る,2.0,難い,1.0
応援,5,変える,6.0,恥ずかしい,2.0
たち,32,求める,4.0,たまらない,1.0
未季,1,書く,7.0,力強い,1.0
さん,65,出来る,1.0,眩しい,1.0
小林,1,伸びる,3.0,無い,3.0
ご無沙汰,1,見える,6.0,がたい,1.0
審査,4,取り下げる,1.0,おもしろい,1.0
員,2,出す,6.0,正しい,3.0
日,29,含む,1.0,とおい,3.0
授賞,1,無くなる,1.0,興味深い,1.0
式,2,忘れる,3.0,,
佐藤,2,いく,34.0,,
楽しみ,9,しまう,17.0,,
うえ,1,繰り返す,1.0,,
城下町,1,やめる,2.0,,
当日,3,関わる,6.0,,
記事,4,使える,1.0,,
主演,6,貼る,1.0,,
留,2,降りる,1.0,,
凪,2,とる,1.0,,
役,3,知る,15.0,,
佐倉,1,わかる,27.0,,
写真,20,翻る,1.0,,
高円寺,1,考える,16.0,,
シアター,2,あらす,1.0,,
バッカス,1,向かう,2.0,,
残念,4,控える,2.0,,
登壇,5,囚われる,2.0,,
参加,29,めぐむ,2.0,,
詳細,5,刺さる,2.0,,
こちら,14,過ごす,2.0,,
時,39,受け入れる,2.0,,
おなじみ,1,生まれる,6.0,,
会,6,読む,10.0,,
予約,1,伝える,6.0,,
フォーム,1,描く,14.0,,
上田,1,伝わる,1.0,,
東京,13,いう,6.0,,
朝,1,捉える,3.0,,
放送,1,なれる,3.0,,
アットホーム,1,続く,4.0,,
トーク,12,上げる,6.0,,
質問,4,ズレる,1.0,,
出演,9,向く,1.0,,
者,33,撮れる,3.0,,
どれ,4,行ける,1.0,,
素敵,11,ハマる,1.0,,
機会,11,つく,1.0,,
感謝,4,笑う,2.0,,
本日,5,泣ける,1.0,,
こころ,1,綴る,1.0,,
直前,1,ぶつ,1.0,,
笑顔,1,明ける,22.0,,
今後,5,喰らう,1.0,,
お願い,17,動く,5.0,,
月,14,貸す,3.0,,
配信,17,写る,1.0,,
ご覧,24,取る,4.0,,
昨日,5,取れる,1.0,,
高橋,1,ふる,1.0,,
良,2,問う,4.0,,
さ,12,せる,16.0,,
宣伝,4,集まる,1.0,,
ほう,1,締め切る,1.0,,
用,1,助ける,1.0,,
笑,12,動ける,1.0,,
容量,1,回る,2.0,,
お待ち,4,変わる,6.0,,
参考,1,聞こえる,1.0,,
状況,6,持つ,3.0,,
不安,2,ちゃう,3.0,,
賛同,9,重なる,1.0,,
以下,7,奪う,1.0,,
キャンペーン,7,増える,3.0,,
安倍,3,喜ぶ,1.0,,
晋,1,渡す,1.0,,
三,1,広がる,1.0,,
新型,2,務める,1.0,,
コロナ,16,込める,3.0,,
ウイルス,4,頑張る,14.0,,
影響,1,得る,1.0,,
すべて,1,働ける,1.0,,
所得,1,生きる,8.0,,
補償,1,引く,2.0,,
ため,11,こもる,2.0,,
緊急,2,残る,5.0,,
署名,3,起きる,2.0,,
店舗,1,亡くなる,1.0,,
収束,1,気づく,6.0,,
カラオケ,1,載せる,2.0,,
ねこ,1,歌う,2.0,,
遊び,1,聞く,22.0,,
確定,1,行なう,1.0,,
申告,2,演じる,1.0,,
意味,5,着る,5.0,,
不明,1,並ぶ,1.0,,
誰か,1,歩く,1.0,,
申請,1,付ける,1.0,,
データ,2,終わる,9.0,,
税,2,乗る,1.0,,
円,5,語れる,1.0,,
以上,4,抗う,2.0,,
税務署,1,進む,2.0,,
火,4,もらえる,6.0,,
日間,1,見せる,1.0,,
限定,3,踏み外す,1.0,,
神田,1,預かる,1.0,,
神保,1,尽きる,1.0,,
町,2,入る,7.0,,
動画,4,置く,1.0,,
チャンネル,1,支払う,1.0,,
コラボレーション,1,成り立つ,2.0,,
