時間,日曜,月曜,火曜,水曜,木曜,金曜,土曜
00,1.0,2.0,5.0,4.0,,2.0,2.0
01,,2.0,,1.0,3.0,7.0,2.0
02,1.0,8.0,5.0,1.0,1.0,3.0,7.0
03,5.0,3.0,1.0,4.0,3.0,1.0,4.0
04,2.0,2.0,3.0,2.0,1.0,4.0,4.0
05,6.0,5.0,6.0,14.0,4.0,5.0,3.0
06,1.0,4.0,7.0,3.0,8.0,2.0,12.0
07,14.0,7.0,6.0,6.0,6.0,3.0,2.0
08,4.0,10.0,6.0,2.0,2.0,1.0,4.0
09,,,5.0,1.0,4.0,3.0,4.0
10,2.0,,3.0,1.0,5.0,,
11,,,,1.0,1.0,,
13,,,,,2.0,,1.0
14,,,,1.0,,1.0,
15,,1.0,,,,,1.0
16,5.0,,,1.0,,,3.0
17,4.0,5.0,2.0,4.0,2.0,5.0,3.0
18,9.0,3.0,2.0,4.0,3.0,7.0,2.0
19,1.0,2.0,3.0,6.0,5.0,6.0,2.0
20,,5.0,3.0,5.0,4.0,8.0,7.0
21,3.0,,4.0,,5.0,6.0,4.0
22,,2.0,4.0,,,5.0,3.0
23,1.0,3.0,1.0,1.0,3.0,,3.0
