単語,重要度,該当文章
あり,0.34476001890917407,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
いただく,0.2031007341854762,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
いただける,0.23313978311003208,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
かさなる,0.21854292869713984,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
すごい,0.24428544620908166,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
よい,0.26402417213335927,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
作品,0.18007311369941423,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
働く,0.24428544620908166,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
印象,0.28578872288807633,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
思う,0.14102579999660272,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
悩む,0.34476001890917407,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
撮る,0.20121710278092475,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
瞬間,0.34476001890917407,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
自分,0.20707870094270103,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
観る,0.26402417213335927,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
言う,0.1546884507587531,ペールブルーがかさなるを観ていただいて、「自分も働くことで悩んでいるので、この作品がすごく印象的だった」と言っていただけることがよくあり。。。撮ってよかったと本当に思う瞬間ですね。
届く,0.6750991034798106,！！ありがとうございます！少しでも心に届いていれば幸いです✨… 
幸い,0.7377270501213549,！！ありがとうございます！少しでも心に届いていれば幸いです✨… 
できる,0.16766603716741463,ついに明日上映です❤️今日から関西入りしてますが…やっぱ超面白い、関西クィア映画祭！スタッフの皆様が安心できる方ばかりで…西部講堂の自治の精神の話とかも面白い。… 
スタッフ,0.22526877908679538,ついに明日上映です❤️今日から関西入りしてますが…やっぱ超面白い、関西クィア映画祭！スタッフの皆様が安心できる方ばかりで…西部講堂の自治の精神の話とかも面白い。… 
