名詞,名詞数,動詞,動詞数,形容詞,形容詞数
どんぐり,1,近付く,1.0,ない,28.0
いちい,1,来る,9.0,後ろめたい,1.0
リー,4,打つ,1.0,多い,3.0
ガル,4,しれる,8.0,低い,4.0
敗者,1,納める,1.0,っぽい,2.0
一般,4,勝つ,4.0,すごい,1.0
論,8,やる,18.0,容易い,1.0
開示,29,できる,20.0,早い,3.0
リンチ,4,信じる,6.0,古めかしい,1.0
ほう,10,求める,3.0,若い,1.0
暇,153,終わる,8.0,よい,7.0
空,125,くれる,7.0,いい,16.0
茜,53,残る,3.0,やすい,2.0
さん,293,逃げる,2.0,生々しい,1.0
破滅,2,切れる,2.0,興味深い,1.0
一,6,異なる,1.0,ほしい,7.0
時間,1,減る,2.0,恐ろしい,1.0
おき,1,思う,34.0,怖い,3.0
プレス,7,まとめる,3.0,堅い,1.0
リリース,7,おく,12.0,悪い,2.0
本日,3,届く,4.0,許可ない,1.0
時,8,言う,46.0,酷い,4.0
明日,2,聞く,8.0,詳しい,4.0
重大,1,書く,16.0,おかしい,1.0
発表,3,起こす,4.0,長い,1.0
速報,2,取り下げる,2.0,程遠い,1.0
名誉,6,働く,1.0,くだらない,2.0
毀損,5,分かる,16.0,難しい,3.0
住所,9,認める,9.0,面倒臭い,1.0
氏名,5,読める,2.0,欲しい,4.0
成功,3,狙う,1.0,高い,1.0
堀口,43,疑う,3.0,良い,2.0
英利,7,くる,17.0,正しい,2.0
損害,5,終える,1.0,賢い,1.0
賠償,9,出せる,2.0,上手い,1.0
請求,10,出す,6.0,新しい,1.0
刑事,4,怒る,4.0,寂しい,1.0
告訴,1,せる,5.0,凄い,1.0
ため,26,遊ぶ,1.0,,
弁護士,48,出る,12.0,,
契約,1,見る,12.0,,
年貢,1,持つ,2.0,,
正義,9,繰り返す,5.0,,
涙,1,行う,6.0,,
理由,11,違う,5.0,,
自分,9,言える,3.0,,
さ,7,上がる,2.0,,
最後,2,投げる,5.0,,
良心,2,いただける,5.0,,
判断,4,いたす,1.0,,
方,20,騒ぐ,1.0,,
自身,5,許す,6.0,,
誹謗,14,いう,9.0,,
中傷,14,捉える,1.0,,
ナンバーズ,7,知る,15.0,,
人,80,使う,10.0,,
たち,31,考える,13.0,,
名,6,見える,3.0,,
等,7,作る,2.0,,
よう,41,ちゃう,4.0,,
アドレス,2,喩える,1.0,,
済,2,わかる,2.0,,
任意,4,読む,9.0,,
拒否,2,思い付く,2.0,,
ログ,4,間違える,1.0,,
保存,2,やめる,4.0,,
現時点,2,盛り上がる,2.0,,
今後,4,雇う,1.0,,
可能,9,絡む,1.0,,
性,20,かかわる,1.0,,
支持,5,続く,3.0,,
者,34,かける,2.0,,
発信,6,始める,2.0,,
情報,15,知り合う,1.0,,
命令,4,載る,1.0,,
申,1,のめり込む,1.0,,
立て,1,いく,5.0,,
こちら,4,追い込む,1.0,,
先程,2,要する,2.0,,
裁判所,8,止める,4.0,,
もの,17,死ぬ,3.0,,
対象,2,続ける,2.0,,
人数,1,のりこえる,4.0,,
東京,4,笑う,2.0,,
地裁,2,覚える,4.0,,
管轄,1,よる,4.0,,
区域,1,目指す,1.0,,
内,1,抜く,1.0,,
それ,18,戦う,1.0,,
以外,5,語る,3.0,,
後,2,おっしゃる,3.0,,
月,6,担ぐ,1.0,,
日,7,上げる,1.0,,
付,1,関わる,2.0,,
すべて,2,紛れ込む,2.0,,
手続き,8,集める,5.0,,
まみ,2,潰す,2.0,,
皆さん,15,満たす,1.0,,
絶対,5,みる,3.0,,
相談,5,怯える,1.0,,
これ,23,表立つ,1.0,,
カルピス,37,裏付ける,1.0,,
軍団,35,付き纏う,1.0,,
誰か,1,替わる,1.0,,
逆,1,払う,1.0,,
枚,2,とめる,1.0,,
目,5,わける,1.0,,
画像,1,すり寄る,1.0,,
下,1,ウケる,1.0,,
申立,1,含む,2.0,,
相手方,1,消す,1.0,,
社,5,揃う,3.0,,
事件,5,負ける,4.0,,
終局,1,られる,15.0,,
決定,4,ハマる,1.0,,
異議,1,取る,3.0,,
訴え,1,しまう,11.0,,
話,8,つく,5.0,,
本物,9,触れる,4.0,,
どっち,1,かく,1.0,,
仁藤,25,進める,2.0,,
素敵,1,見つける,2.0,,
他者,2,役立つ,1.0,,
懸命,1,はいる,1.0,,
そこ,1,もらえる,3.0,,
性的,1,撒く,1.0,,
付け,1,散らす,1.0,,
意味,9,稼ぐ,1.0,,
生活,4,掲げる,2.0,,
保護,3,抱える,3.0,,
不正,10,受ける,6.0,,
受給,4,呼び掛ける,3.0,,
法的,5,くださる,6.0,,
見解,2,合う,1.0,,
国際,9,もらう,2.0,,
先生,35,守る,1.0,,
自称,4,用いる,2.0,,
比較,1,かかる,2.0,,
そこら,1,支える,3.0,,
法学部,1,受け取る,1.0,,
生,1,貶める,1.0,,
なん,2,見守る,1.0,,
分,1,漏らす,1.0,,
職務,4,泣く,1.0,,
遂行,1,暴れる,1.0,,
携帯,3,話す,3.0,,
義務,3,調べる,4.0,,
証明,1,起きる,1.0,,
そう,15,訴える,5.0,,
アップ,2,歪む,1.0,,
・,1,気付く,1.0,,
司法,6,騙す,1.0,,
試験,4,かりる,1.0,,
合格,5,追いかける,1.0,,
修習,1,捕らえる,2.0,,
家族,1,濁る,1.0,,
証書,1,とる,1.0,,
本人,5,追いたてる,1.0,,
留守,1,埋め込む,1.0,,
