組み合わせ,共起回数
"ニトウ, 為る",12
"ブロック-block, 解除",12
"ブロック-block, 為る, 解除",25
"為る, 解除",18
"為る, 為る, 解除",16
"内容, 為る",19
"為る, 越える",13
"前, 為る",16
"垢, 鍵",10
"垢, 為る, 鍵",20
"為る, 鍵",14
"為る, 為る, 鍵",15
"ナンバー-number, 為る",11
"為る, 訴訟",15
"払う, 無い, 示談",14
"払う, 為る, 無い, 示談",22
"払う, 為る, 示談",19
"払う, 為る, 為る, 示談",20
"払う, 為る, 言う",13
"払う, 為る, 無い, 言う",30
"払う, 為る, 為る, 言う",12
"払う, 為る, 為る, 無い, 言う",12
"払う, 無い, 言う",24
"払う, 無い, 無い, 言う",20
"払う, 無い",17
"払う, 無い, 無い",11
"払う, 為る, 為る, 為る",15
"払う, 為る, 為る, 為る, 無い",23
"払う, 為る, 為る, 無い",31
"払う, 為る, 為る, 無い, 無い",18
"払う, 為る, 無い",26
"払う, 為る, 無い, 無い",14
"社会, 障害, 障害",10
"為る, 社会, 障害, 障害",85
"為る, 社会, 障害",84
"為る, 為る, 社会, 障害",306
"為る, 社会",41
"為る, 為る, 社会",122
"責任, 障害",11
"為る, 責任, 障害",81
"為る, 障害",48
"為る, 為る, 障害",156
"代, 代",11
"批判, 為る",22
"為る, 癖",13
"為る, 蛸部屋",12
"相当, 真実",11
"為る, 相当",11
"為る, 相当, 真実",11
"為る, 速",18
"情報, 為る",25
"下さる, 為る",21
"為る, 責任",38
"チューチュー-choochoo, 公金",12
"チューチュー-choochoo, 公金, 為る",12
"チューチュー-choochoo, 為る",14
"コラボ-collaboration, 為る",19
"タカハシ, 有識",13
"暇, 負ける",11
"暇, 為る, 負ける",19
"為る, 負ける",16
"為る, 為る, 負ける",15
"成る, 説, 説, 説",10
"フジサワ, 成る, 説, 説, 説",40
"ショウ, 成る, 説, 説, 説",40
"ショウ, フジサワ, 成る, 説, 説, 説",40
"ショウ, 成る, 説, 説",41
"ショウ, ショウ, 成る, 説, 説",60
"フジサワ, 成る, 説, 説",41
"ショウ, フジサワ, 成る, 説, 説",161
"フジサワ, フジサワ, 成る, 説, 説",60
"ショウ, フジサワ, フジサワ, 成る, 説, 説",60
"フジサワ, 成る, 説",22
"フジサワ, フジサワ, 成る, 説",30
"ショウ, 成る, 説",22
"ショウ, フジサワ, 成る, 説",82
"ショウ, ショウ, 成る, 説",30
"ショウ, ショウ, フジサワ, 成る, 説",30
"説, 説, 説",10
"ショウ, 説, 説, 説",40
"フジサワ, 説, 説, 説",40
"ショウ, フジサワ, 説, 説, 説",40
"フジサワ, 説, 説",41
"フジサワ, フジサワ, 説, 説",60
"ショウ, 説, 説",41
"ショウ, フジサワ, 説, 説",161
"ショウ, ショウ, 説, 説",60
"ショウ, ショウ, フジサワ, 説, 説",60
"ショウ, 説",22
"ショウ, ショウ, 説",30
"フジサワ, 説",22
"ショウ, フジサワ, 説",82
"フジサワ, フジサワ, 説",30
"ショウ, フジサワ, フジサワ, 説",30
"不正, 保護",11
"不正, 保護, 為る",15
"不正, 為る, 生活",15
"不正, 保護, 為る, 生活",23
"不正, 保護, 生活",19
"不正, 為る",19
"不正, 為る, 為る",10
"フォロー-follow, 相互",13
"懲戒, 為る",12
"弁護, 懲戒, 為る",28
"弁護, 弁護, 懲戒",13
"弁護, 弁護, 懲戒, 請求",12
"弁護, 懲戒, 請求",15
"懲戒, 請求",17
"懲戒, 請求, 請求",11
"カルピス-CALPIS, 中身",12
"ヒサマ, 為る, 為る",16
"ヒサマ, 弁護, 為る, 為る",39
"ヒサマ, 弁護, 為る",36
"ヒサマ, 弁護, 弁護, 為る",33
"ヒサマ, 弁護",20
"ヒサマ, 弁護, 弁護",16
"保護, 受給",13
"保護, 受給, 為る",22
"受給, 為る, 為る, 生活",15
"保護, 受給, 為る, 為る, 生活",33
"保護, 受給, 為る, 生活",46
"保護, 保護, 受給, 為る, 生活",33
"保護, 受給, 生活",25
"保護, 保護, 受給, 生活",15
"受給, 為る",17
"受給, 為る, 為る",10
"為る, 特定",26
"名前, 書く, 為る",12
"名前, 名前, 書く, 為る",14
"名前, 名前, 書く",14
"書く, 為る",17
