名詞,名詞数,動詞,動詞数,形容詞,形容詞数
生活,28,切り詰める,1.0,無い,132.0
暇,239,為る,697.0,恥ずかしい,8.0
空,162,吊る,7.0,面白い,4.0
鯣,1,ぶつかる,3.0,可笑しい,4.0
カンパ-kampaniya,23,成る,97.0,仕方無い,5.0
コモリ,1,躍らす,1.0,うざい,2.0
ケーキ-cake,1,笑う,7.0,良い,61.0
三,5,狙う,7.0,苦しい,4.0
等分,1,書く,12.0,凄まじい,1.0
出来,1,詰まる,5.0,偉い,1.0
速,11,使う,17.0,なるい,3.0
書き込み,17,仕舞う,38.0,悲しい,2.0
逃走,1,呼び出す,6.0,有り難い,3.0
カルピス-CALPIS,84,腫れ上がる,1.0,凄い,17.0
軍団,13,塗る,2.0,重たい,1.0
特定,12,取る,13.0,悔しい,4.0
上,5,付く,2.0,欲しい,12.0
ネット-net,17,居る,129.0,甘い,2.0
リンチ-lynch,3,増える,4.0,多い,7.0
探偵,2,有る,76.0,久しい,1.0
掌,2,因る,21.0,見苦しい,1.0
番,7,送り付ける,1.0,少ない,3.0
事,123,下りる,3.0,強い,3.0
げろ,1,受け取る,1.0,正しい,1.0
尊師,19,届く,5.0,辛い,1.0
悲報,86,来る,41.0,高い,6.0
フジサワ,47,思う,78.0,不味い,20.0
ショウ,44,集める,4.0,怖い,8.0
前提,23,訴える,14.0,ばっちい,1.0
別人,28,預かる,1.0,低い,2.0
ホリグチ,41,行く,27.0,やばい,8.0
名前,17,感ずる,5.0,珍しい,1.0
カタクラ,18,利く,7.0,ださい,2.0
シンジ,18,泣く,2.0,汚い,2.0
先生,47,継ぐ,5.0,近い,3.0
誹謗,40,認める,8.0,若い,2.0
中傷,43,踏む,1.0,重い,2.0
件,17,吐く,2.0,酷い,2.0
警察,60,嘗める,5.0,大きい,2.0
スペース-space,30,掛かる,4.0,危うい,1.0
クリスマス-Christmas,2,言う,153.0,若々しい,1.0
イブ-eve,2,出来る,48.0,臭い,1.0
全裸,2,続ける,1.0,怪しい,2.0
帯状,3,耐える,1.0,はくい,1.0
疱疹,3,切る,5.0,早い,7.0
おっぱい,4,知る,22.0,遅い,4.0
軟膏,2,腐る,1.0,楽しい,1.0
事実,12,返る,3.0,きもい,6.0
避難,8,付ける,5.0,長い,1.0
アイコン-icon,2,触れる,7.0,エロい,1.0
自,3,入る,7.0,悪い,11.0
指摘,8,分かる,35.0,乏しい,1.0
無視,4,送る,6.0,茶色い,1.0
トランス-trans,1,諦める,2.0,可愛い,1.0
エージ-age,1,取れる,5.0,腹立たしい,1.0
本当,15,回る,3.0,羨ましい,1.0
一,15,覚える,2.0,物凄い,1.0
嘘,5,捲る,17.0,難しい,2.0
名無し,13,燃やす,2.0,著しい,1.0
御腹,13,対する,18.0,詳しい,1.0
一杯,14,越える,10.0,旨い,1.0
日,4,貰う,9.0,等しい,1.0
因み,9,終わる,7.0,,
フォロワー-follower,15,消す,31.0,,
ア-a,49,始まる,1.0,,
ノン-non,49,掛ける,8.0,,
購入,1,消える,5.0,,
疑惑,6,映る,1.0,,
年,7,渡す,6.0,,
月,9,押し掛ける,3.0,,
増加,1,払う,10.0,,
ニトウ,10,下さる,11.0,,
女の子,4,ばれる,3.0,,
利益,3,聞こえる,2.0,,
全額,3,追い詰める,3.0,,
返金,3,呼ぶ,8.0,,
都,3,堪る,3.0,,
個人,9,出る,8.0,,
