時間,日曜,月曜,火曜,水曜,木曜,金曜,土曜
00,2.0,3.0,7.0,1.0,2.0,6.0,12.0
01,3.0,1.0,2.0,4.0,7.0,7.0,11.0
02,2.0,1.0,4.0,5.0,5.0,4.0,4.0
03,6.0,14.0,3.0,1.0,5.0,7.0,17.0
04,21.0,14.0,18.0,2.0,6.0,4.0,15.0
05,4.0,13.0,10.0,3.0,10.0,12.0,10.0
06,7.0,2.0,21.0,7.0,6.0,38.0,
07,7.0,4.0,23.0,7.0,5.0,23.0,4.0
08,2.0,1.0,5.0,6.0,2.0,16.0,3.0
09,7.0,,8.0,1.0,2.0,15.0,
10,10.0,4.0,3.0,2.0,,9.0,1.0
11,5.0,,4.0,1.0,,5.0,
12,2.0,,,,,,
14,,,,,1.0,,
16,,2.0,1.0,7.0,1.0,,3.0
17,2.0,11.0,5.0,3.0,,9.0,7.0
18,3.0,6.0,3.0,,6.0,2.0,10.0
19,1.0,1.0,1.0,4.0,5.0,3.0,11.0
20,10.0,1.0,2.0,2.0,3.0,2.0,4.0
21,14.0,,3.0,1.0,3.0,,1.0
22,18.0,,2.0,2.0,2.0,3.0,6.0
23,2.0,9.0,1.0,2.0,12.0,7.0,5.0
