名詞,名詞数,動詞,動詞数,形容詞,形容詞数
ジャ,14,救う,1.0,おかしい,1.0
ニーズ,14,謳う,1.0,すごい,17.0
タレント,6,思う,35.0,厳しい,1.0
愛,3,掲げる,1.0,多い,4.0
地球,1,隠す,2.0,ない,7.0
チャリティー,2,出す,2.0,やすい,2.0
番組,9,くる,7.0,悪い,1.0
起用,1,感じる,3.0,怖い,3.0
テレビ局,1,分ける,2.0,いい,4.0
絶対,1,考える,6.0,優しい,3.0
ファン,3,歌う,1.0,面白い,1.0
意見,1,出る,8.0,楽しい,1.0
アイドル,5,見直す,1.0,重い,1.0
歌,2,言う,12.0,ほしい,1.0
テレビ,4,できる,10.0,強い,1.0
ドラマ,1,なくなる,2.0,欲しい,1.0
役回り,2,ありえる,1.0,詳しい,2.0
友情,2,使う,3.0,,
平和,1,起こる,1.0,,
勇気,1,うる,1.0,,
みたい,18,いく,4.0,,
前向き,1,いう,12.0,,
メッセージ,1,引っ張る,1.0,,
前面,1,くれる,4.0,,
中,5,しれる,2.0,,
今回,3,亡くなる,1.0,,
よう,7,やる,8.0,,
問題,7,見せる,1.0,,
部分,4,進める,1.0,,
対応,3,頑張る,1.0,,
事務所,10,言える,2.0,,
たち,4,来る,1.0,,
スタンス,1,抱える,1.0,,
幻滅,1,わかる,1.0,,
これ,8,聞く,3.0,,
もの,3,持つ,2.0,,
間,1,作る,2.0,,
ギャップ,1,見る,5.0,,
僕,6,使える,1.0,,
辺,4,ちゃう,2.0,,
感じ,3,出せる,1.0,,
私,10,行く,1.0,,
ふう,4,おっしゃる,2.0,,
自身,1,つける,1.0,,
テーマ,1,喋る,1.0,,
それ,18,責める,3.0,,
矛盾,1,られる,8.0,,
声,6,上げる,7.0,,
機会,1,始める,1.0,,
子供,1,見つける,1.0,,
性,6,集める,1.0,,
暴力,3,立つ,3.0,,
男性,1,受け止める,2.0,,
勝手,1,答える,1.0,,
あれ,3,みる,1.0,,
今,7,入る,1.0,,
喜多川,5,もらう,2.0,,
氏,5,いただく,1.0,,
再発,2,くださる,1.0,,
防止,1,知る,2.0,,
風,6,取り上げる,3.0,,
さん,18,行う,1.0,,
権力,1,向き合う,2.0,,
セクハラ,1,続ける,1.0,,
いつ,1,取る,1.0,,
社会,1,見れる,1.0,,
全体,1,読む,2.0,,
時,16,いける,2.0,,
全力,1,関わる,1.0,,
応援,3,触る,1.0,,
言い方,1,受ける,1.0,,
逆,1,上がる,1.0,,
失礼,2,戦う,1.0,,
立場,2,調べる,3.0,,
気,1,言い過ぎる,1.0,,
反省,1,すっぱ抜く,1.0,,
我々,1,違う,1.0,,
率先,1,書く,1.0,,
何,5,信じる,1.0,,
プラス,1,,,,
お前,1,,,,
本当,1,,,,
追求,2,,,,
代表,1,,,,
幹部,1,,,,
役員,1,,,,
方,11,,,,
ところ,2,,,,
そこ,5,,,,
あと,1,,,,
言葉,2,,,,
被害,1,,,,
加害,6,,,,
者,3,,,,
尊敬,5,,,,
父,1,,,,
おじさん,2,,,,
人,6,,,,
かも,1,,,,
たくさん,1,,,,
気持ち,2,,,,
自体,3,,,,
否定,2,,,,
自分,8,,,,
芸能,1,,,,
界,1,,,,
デビュー,1,,,,
きっかけ,1,,,,
誰,1,,,,
両立,1,,,,
解決,1,,,,
ジャーナリスト,1,,,,
インタビュー,1,,,,
写真,1,,,,
とこ,1,,,,
お願い,1,,,,
紹介,1,,,,
階,1,,,,
壁画,1,,,,
形,2,,,,
顔,1,,,,
おじいちゃん,1,,,,
謎,1,,,,
彼,1,,,,
キャラクター,1,,,,
名前,1,,,,
わけ,1,,,,
家族,4,,,,
ジュリー,1,,,,
めちゃめちゃ,1,,,,
方々,2,,,,
関係,1,,,,
個,1,,,,
所属,2,,,,
一員,1,,,,
事,3,,,,
親,1,,,,
憶測,1,,,,
みんな,3,,,,
最初,6,,,,
明らか,1,,,,
会,2,,,,
立ち,2,,,,
皆さん,1,,,,
連絡,4,,,,
署名,5,,,,
個人,1,,,,
的,2,,,,
思い,2,,,,
アクション,1,,,,
参加,2,,,,
知り合い,1,,,,
古澤,2,,,,
一緒,2,,,,
任意,1,,,,
団体,2,,,,
話,2,,,,
別,1,,,,
グループ,1,,,,
カウ,6,,,,
アン,6,,,,
記事,3,,,,
シェア,1,,,,
非常,1,,,,
好き,1,,,,
大変,1,,,,
メンバー,1,,,,
一,1,,,,
友達,1,,,,
子,2,,,,
活動,3,,,,
共感,1,,,,
知人,1,,,,
拡散,1,,,,
反応,1,,,,
途中,1,,,,
取材,1,,,,
大事,1,,,,
メディア,1,,,,
高田,1,,,,
さっき,1,,,,
報道,2,,,,
会見,4,,,,
タイミング,1,,,,
ニュース,1,,,,
意識,1,,,,
正直,1,,,,
動画,2,,,,
物理,1,,,,
内,1,,,,
通り,1,,,,
ふり,1,,,,
選択肢,1,,,,
その後,2,,,,
文春,4,,,,
月,1,,,,
日,1,,,,
記者,1,,,,
文字,1,,,,
話題,1,,,,
展開,1,,,,
大手,1,,,,
新聞,1,,,,
回,1,,,,
次,1,,,,
ショック,2,,,,
いかが,1,,,,
側,1,,,,
重大,1,,,,
何かしら,1,,,,
検証,1,,,,
後,1,,,,
状況,1,,,,
恐怖,1,,,,
感,1,,,,
昔,1,,,,
裁判,1,,,,
前,1,,,,
印象,1,,,,
陰謀,1,,,,
論,1,,,,
若干,1,,,,
強引,1,,,,
残酷,1,,,,
感触,1,,,,
週刊,2,,,,
誌,2,,,,
熱愛,1,,,,
情報,1,,,,
