組み合わせ,共起回数
"ファン, ファン, 声",12
"ファン, ファン, 声, 思う",12
"ファン, 声, 思う",21
"ファン, 声, 思う, 思う",18
"声, 思う",16
"声, 思う, 思う",18
"方, 被害",10
"人, 方, 被害",12
"思う, 方, 被害",16
"人, 思う, 方, 被害",12
"人, 被害",11
"人, 思う, 被害",23
"思う, 被害",17
"それ, 思う",10
"グループ, ファン",13
"すごい, ファン, 思う",12
"すごい, ファン, 事務所, 思う",15
"すごい, ファン, 事務所",17
"すごい, ファン, 事務所, 事務所",12
"すごい, 思う",11
"すごい, 事務所, 思う",13
"すごい, 事務所",15
"すごい, 事務所, 事務所",11
"アイドル, ニーズ",10
"アイドル, ニーズ, ファン",15
"アイドル, ジャ, ニーズ",10
"アイドル, ジャ, ニーズ, ファン",15
"アイドル, ジャ, ファン",15
"アイドル, ジャ, ファン, ファン",13
"アイドル, 思う, 方",10
"アイドル, ファン, 方",10
"アイドル, 思う",12
"アイドル, ファン, 思う",21
"アイドル, ファン",20
"アイドル, ファン, ファン",19
"ファン, ファンクラブ",10
"人, 思う",22
"事務所, 方",10
"ファン, 事務所, 方",13
"ファン, 事務所",19
"ファン, ファン, 事務所",14
"事務所, 思う, 思う",13
"ファン, 事務所, 思う, 思う",12
"ファン, 事務所, 思う",23
"ファン, ファン, 事務所, 思う",14
"ジャ, ニーズ, 思う, 方",34
"ジャ, ジャ, ニーズ, 思う, 方",30
"ジャ, ニーズ, ニーズ, 思う, 方",50
"ジャ, ジャ, ニーズ, ニーズ, 思う, 方",90
"ジャ, ニーズ, ニーズ, 方",50
"ジャ, ジャ, ニーズ, 方",50
"ジャ, ジャ, ニーズ, ニーズ, 方",95
"ジャ, ジャ, ニーズ",52
"ジャ, ジャ, ニーズ, 思う",54
"ジャ, ニーズ, ニーズ, 思う",54
"ジャ, ジャ, ニーズ, ニーズ, 思う",15
"ジャ, ジャ, ニーズ, ニーズ",96
"ジャ, ニーズ, 思う",40
"ジャ, ジャ, ジャ, 思う, 方",10
"ジャ, ジャ, ジャ, ニーズ, 思う, 方",30
"ジャ, ジャ, ジャ, 方",10
"ジャ, ジャ, ジャ, ニーズ, 方",30
"ジャ, ジャ, ジャ, 思う",10
"ジャ, ジャ, ジャ, ニーズ, 思う",30
"ジャ, ジャ, ジャ, ニーズ",30
"ジャ, ジャ, ジャ, ニーズ, ニーズ",33
"ジャ, ジャ, 思う",12
"ジャ, ファン",14
"ジャ, ファン, 思う",11
"ジャ, ファン, ファン",10
"ジャ, ファン, ファン, 思う",10
"ジャ, 思う",16
"ジャ, 思う, 方",14
"ジャ, 方",17
"ジャ, 方, 方",12
"ニーズ, ニーズ, ニーズ, 思う, 方",10
"ジャ, ニーズ, ニーズ, ニーズ, 思う, 方",45
"ニーズ, ニーズ, ニーズ, 方",10
"ジャ, ニーズ, ニーズ, ニーズ, 方",45
"ニーズ, ニーズ, ニーズ, 思う",10
"ジャ, ニーズ, ニーズ, ニーズ, 思う",45
"ジャ, ニーズ, ニーズ, ニーズ",45
"ジャ, ジャ, ニーズ, ニーズ, ニーズ",81
"ニーズ, ニーズ, 思う",12
"ジャ, ニーズ, ニーズ",42
"ニーズ, ファン",14
"ジャ, ニーズ, ファン",14
"ニーズ, ファン, 思う",11
"ニーズ, ファン, ファン",10
"ジャ, ニーズ, ファン, 思う",11
"ジャ, ニーズ, ファン, ファン",10
"ニーズ, ファン, ファン, 思う",10
"ジャ, ニーズ, ファン, ファン, 思う",10
"ニーズ, 思う, 方",14
"ニーズ, 方, 方",12
"ジャ, ニーズ, 方, 方",12
"ジャ, ニーズ, 方",27
"ジャ, ニーズ",30
"方, 方",12
"ファン, 方",16
"ファン, 思う, 方",14
"思う, 方",17
"ファン, ファン",17
"ファン, ファン, 思う",19
"ファン, 思う",32
"ファン, 思う, 思う",15
"思う, 思う",15
