名詞,名詞数,動詞,動詞数,形容詞,形容詞数
現在,1,休む,1.0,辛い,3.0
学校,2,しまう,6.0,重たい,1.0
足,1,引きずる,1.0,深い,1.0
単位,1,落とす,1.0,すごい,18.0
ため,2,通う,1.0,楽しい,2.0
状況,5,支える,2.0,詳しい,1.0
私,6,くれる,2.0,長い,1.0
存在,5,推す,2.0,ない,6.0
姿,2,頑張る,3.0,多い,1.0
彼ら,2,輝く,1.0,難しい,1.0
思い,2,見る,3.0,いい,3.0
よう,9,会う,1.0,良い,1.0
素敵,1,憧れる,1.0,ほしい,4.0
人,9,奮い立つ,1.0,大きい,2.0
今,10,せる,2.0,,
力,1,驚く,1.0,,
ファン,11,読む,1.0,,
声,10,限る,2.0,,
神,1,しれる,2.0,,
あれ,6,思う,32.0,,
心,1,抱える,4.0,,
支え,1,歌う,3.0,,
ジャ,13,聴く,1.0,,
ニーズ,13,励ます,1.0,,
アイドル,7,行く,4.0,,
方,7,言う,6.0,,
風,5,頑張れる,1.0,,
真剣,1,聞ける,2.0,,
もの,5,聞く,6.0,,
それぞれ,1,過ごす,1.0,,
好き,3,いく,8.0,,
タイミング,1,考える,2.0,,
時,11,わかる,4.0,,
自分,2,来る,4.0,,
葛藤,3,報じる,1.0,,
たくさん,2,退る,2.0,,
歌,1,続ける,4.0,,
受験,1,いう,5.0,,
曲,5,出る,9.0,,
大変,1,喋る,2.0,,
コンサート,3,気に入る,1.0,,
明日,2,上がる,2.0,,
みたい,12,いける,1.0,,
後押し,1,愛する,1.0,,
テレビ,1,立つ,2.0,,
何,8,られる,1.0,,
回,7,冷める,1.0,,
ここ,1,測る,1.0,,
気持ち,5,やる,3.0,,
人生,1,測れる,1.0,,
中,4,くる,2.0,,
タレント,3,受け入れる,2.0,,
自身,3,決まる,1.0,,
変化,1,開く,2.0,,
昔,1,もらう,1.0,,
成長,1,答える,3.0,,
身近,1,変わる,2.0,,
全力,2,出す,3.0,,
感じ,2,変える,2.0,,
ライブ,1,起こす,2.0,,
一体,1,行う,1.0,,
感,1,知る,1.0,,
最後,1,できる,1.0,,
メンバー,2,増える,1.0,,
脱退,2,集める,3.0,,
グループ,1,締め切る,1.0,,
解散,3,傾ける,1.0,,
応援,6,くださる,1.0,,
今回,1,掲げる,1.0,,
前,2,つなげる,1.0,,
僕,7,起こる,1.0,,
性,4,求める,2.0,,
加害,3,集まる,3.0,,
所,2,終わる,1.0,,
それ,9,利く,1.0,,
そこ,2,持つ,1.0,,
そう,1,とかす,1.0,,
別,2,含める,2.0,,
ところ,4,始める,2.0,,
芸能,1,許せる,1.0,,
活動,4,感じる,1.0,,
〇,2,違う,1.0,,
君,2,おっしゃる,1.0,,
特別,1,いらっしゃる,1.0,,
カウ,1,,,,
アン,1,,,,
岡本,1,,,,
なん,2,,,,
インタビュー,1,,,,
動画,4,,,,
ふう,4,,,,
喜多川,1,,,,
氏,1,,,,
個人,2,,,,
的,4,,,,
舞台,3,,,,
話,3,,,,
いい加減,1,,,,
世界,1,,,,
彼,2,,,,
急,1,,,,
メイン,1,,,,
ボー,1,,,,
ン,1,,,,
証言,1,,,,
実力,3,,,,
比較,1,,,,
部分,1,,,,
わけ,1,,,,
辺,1,,,,
印象,1,,,,
衝撃,1,,,,
事務所,8,,,,
所属,1,,,,
どこ,1,,,,
ドラマ,2,,,,
いや,1,,,,
俳優,1,,,,
魅力,2,,,,
以外,1,,,,
経験,1,,,,
蓄積,1,,,,
一番,1,,,,
最初,3,,,,
スタートライン,1,,,,
経営,1,,,,
層,1,,,,
記者,3,,,,
会見,3,,,,
質問,3,,,,
説明,1,,,,
ペンライト,3,,,,
必須,1,,,,
謝罪,4,,,,
見解,1,,,,
誰,1,,,,
曖昧,1,,,,
結局,1,,,,
必要,1,,,,
まま,4,,,,
ジュリー,2,,,,
さん,2,,,,
その後,3,,,,
東山,1,,,,
事,1,,,,
名前,1,,,,
検討,1,,,,
次,1,,,,
アクション,1,,,,
多く,2,,,,
スルー,1,,,,
これ,2,,,,
告発,1,,,,
者,4,,,,
集団,1,,,,
訴訟,1,,,,
署名,13,,,,
提出,4,,,,
内容,2,,,,
どれ,1,,,,
合計,1,,,,
数,3,,,,
目,6,,,,
月,2,,,,
日,2,,,,
郵送,1,,,,
被害,4,,,,
耳,1,,,,
一,1,,,,
実態,1,,,,
調査,1,,,,
検証,2,,,,
結果,1,,,,
事実,1,,,,
明らか,1,,,,
トラウマ,1,,,,
回復,1,,,,
ケア,1,,,,
あと,2,,,,
事件,1,,,,
再発,1,,,,
防止,1,,,,
どの,1,,,,
筆,2,,,,
募集,2,,,,
締め切り,1,,,,
万,1,,,,
集計,2,,,,
具体,1,,,,
後,1,,,,
藤島,1,,,,
景子,1,,,,
社長,1,,,,
声明,1,,,,
文章,1,,,,
言い方,1,,,,
影響,2,,,,
実感,1,,,,
自体,1,,,,
インパクト,1,,,,
きっかけ,2,,,,
報道,2,,,,
機関,1,,,,
返答,1,,,,
メディア,1,,,,
バッシング,1,,,,
暴力,1,,,,
間,1,,,,
匿名,1,,,,
考え方,1,,,,
問題,1,,,,
通り,1,,,,
大事,1,,,,
逆,1,,,,
清算,1,,,,
対応,1,,,,
解体,1,,,,
